subject,dataset_mouse_id,lab,n_sessions,n_probes,n_good_units
NYU-11,sub-NYU-11,angelakilab,2,3,340
NYU-12,sub-NYU-12,angelakilab,4,6,655
NYU-21,sub-NYU-21,angelakilab,2,4,368
NYU-30,sub-NYU-30,angelakilab,3,4,398
NYU-37,sub-NYU-37,angelakilab,5,9,1278
NYU-39,sub-NYU-39,angelakilab,5,10,694
NYU-40,sub-NYU-40,angelakilab,4,8,806
NYU-45,sub-NYU-45,angelakilab,3,6,701
NYU-46,sub-NYU-46,angelakilab,4,5,225
NYU-47,sub-NYU-47,angelakilab,3,6,480
NYU-48,sub-NYU-48,angelakilab,3,6,557
NYU-65,sub-NYU-65,angelakilab,3,6,715
CSHL045,sub-CSHL045,churchlandlab,5,7,731
CSHL047,sub-CSHL047,churchlandlab,2,4,304
CSHL049,sub-CSHL049,churchlandlab,4,6,581
CSHL051,sub-CSHL051,churchlandlab,1,2,133
CSHL052,sub-CSHL052,churchlandlab,5,8,593
CSHL053,sub-CSHL053,churchlandlab,4,5,664
CSHL054,sub-CSHL054,churchlandlab,1,2,119
CSHL055,sub-CSHL055,churchlandlab,1,2,171
CSHL058,sub-CSHL058,churchlandlab,3,6,569
CSHL059,sub-CSHL059,churchlandlab,5,9,646
CSHL060,sub-CSHL060,churchlandlab,5,9,1154
MFD_05,sub-MFD_05,churchlandlab_ucla,3,3,481
MFD_06,sub-MFD_06,churchlandlab_ucla,4,4,543
MFD_07,sub-MFD_07,churchlandlab_ucla,3,3,560
MFD_08,sub-MFD_08,churchlandlab_ucla,2,2,436
MFD_09,sub-MFD_09,churchlandlab_ucla,1,1,291
UCLA005,sub-UCLA005,churchlandlab_ucla,1,1,53
UCLA006,sub-UCLA006,churchlandlab_ucla,1,1,314
UCLA011,sub-UCLA011,churchlandlab_ucla,1,1,62
UCLA012,sub-UCLA012,churchlandlab_ucla,1,1,98
UCLA014,sub-UCLA014,churchlandlab_ucla,1,1,99
UCLA015,sub-UCLA015,churchlandlab_ucla,1,1,133
UCLA017,sub-UCLA017,churchlandlab_ucla,1,1,257
UCLA030,sub-UCLA030,churchlandlab_ucla,1,1,343
UCLA033,sub-UCLA033,churchlandlab_ucla,3,4,584
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193
UCLA035,sub-UCLA035,churchlandlab_ucla,2,4,452
UCLA036,sub-UCLA036,churchlandlab_ucla,1,2,304
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805
UCLA044,sub-UCLA044,churchlandlab_ucla,2,2,201
UCLA048,sub-UCLA048,churchlandlab_ucla,1,2,162
UCLA049,sub-UCLA049,churchlandlab_ucla,2,4,375
UCLA052,sub-UCLA052,churchlandlab_ucla,1,1,93
KS014,sub-KS014,cortexlab,3,5,538
KS016,sub-KS016,cortexlab,3,6,349
KS022,sub-KS022,cortexlab,1,2,89
KS023,sub-KS023,cortexlab,4,8,823
KS042,sub-KS042,cortexlab,2,4,362
KS043,sub-KS043,cortexlab,2,4,257
KS044,sub-KS044,cortexlab,2,4,340
KS045,sub-KS045,cortexlab,1,2,171
KS046,sub-KS046,cortexlab,4,8,814
KS051,sub-KS051,cortexlab,3,4,224
KS052,sub-KS052,cortexlab,1,2,91
KS055,sub-KS055,cortexlab,2,4,598
KS084,sub-KS084,cortexlab,1,2,131
KS086,sub-KS086,cortexlab,2,3,257
KS091,sub-KS091,cortexlab,2,4,221
KS094,sub-KS094,cortexlab,4,7,623
KS096,sub-KS096,cortexlab,5,8,725
DY_008,sub-DY_008,danlab,2,2,250
DY_009,sub-DY_009,danlab,9,9,1187
DY_010,sub-DY_010,danlab,5,5,517
DY_011,sub-DY_011,danlab,4,4,267
DY_013,sub-DY_013,danlab,3,4,275
DY_014,sub-DY_014,danlab,7,14,1091
DY_016,sub-DY_016,danlab,5,10,1514
DY_018,sub-DY_018,danlab,3,6,496
DY_020,sub-DY_020,danlab,8,16,1934
PL015,sub-PL015,hausserlab,5,5,396
PL016,sub-PL016,hausserlab,1,1,155
PL017,sub-PL017,hausserlab,7,8,832
PL024,sub-PL024,hausserlab,1,1,126
PL030,sub-PL030,hausserlab,8,8,1241
PL031,sub-PL031,hausserlab,5,5,351
PL033,sub-PL033,hausserlab,13,13,1104
PL034,sub-PL034,hausserlab,3,3,124
PL035,sub-PL035,hausserlab,4,4,267
PL037,sub-PL037,hausserlab,6,6,932
PL050,sub-PL050,hausserlab,9,11,1282
SWC_042,sub-SWC_042,hoferlab,2,3,234
SWC_043,sub-SWC_043,hoferlab,7,10,1352
SWC_060,sub-SWC_060,hoferlab,3,6,404
SWC_061,sub-SWC_061,hoferlab,3,6,483
SWC_066,sub-SWC_066,hoferlab,2,2,22
ZFM-01576,sub-ZFM-01576,mainenlab,2,3,537
ZFM-01577,sub-ZFM-01577,mainenlab,3,5,641
ZFM-01592,sub-ZFM-01592,mainenlab,3,5,935
ZFM-01935,sub-ZFM-01935,mainenlab,4,5,692
ZFM-01936,sub-ZFM-01936,mainenlab,5,6,827
ZFM-01937,sub-ZFM-01937,mainenlab,2,2,217
ZFM-02368,sub-ZFM-02368,mainenlab,1,2,372
ZFM-02369,sub-ZFM-02369,mainenlab,1,2,474
ZFM-02370,sub-ZFM-02370,mainenlab,2,2,356
ZFM-02372,sub-ZFM-02372,mainenlab,2,3,247
ZFM-02373,sub-ZFM-02373,mainenlab,1,2,367
ZFM-04308,sub-ZFM-04308,mainenlab,2,3,253
ZM_1897,sub-ZM_1897,mainenlab,2,3,668
ZM_1898,sub-ZM_1898,mainenlab,2,2,203
ZM_2240,sub-ZM_2240,mainenlab,4,6,1153
ZM_2241,sub-ZM_2241,mainenlab,5,9,1550
ZM_2245,sub-ZM_2245,mainenlab,1,2,201
ZM_3003,sub-ZM_3003,mainenlab,2,4,271
SWC_038,sub-SWC_038,mrsicflogellab,3,6,724
SWC_039,sub-SWC_039,mrsicflogellab,1,2,207
SWC_052,sub-SWC_052,mrsicflogellab,7,13,802
SWC_053,sub-SWC_053,mrsicflogellab,3,5,256
SWC_054,sub-SWC_054,mrsicflogellab,6,10,1039
SWC_058,sub-SWC_058,mrsicflogellab,4,7,778
SWC_065,sub-SWC_065,mrsicflogellab,1,1,59
NR_0017,sub-NR_0017,steinmetzlab,1,1,60
NR_0019,sub-NR_0019,steinmetzlab,3,5,459
NR_0020,sub-NR_0020,steinmetzlab,4,7,700
NR_0021,sub-NR_0021,steinmetzlab,3,6,384
NR_0024,sub-NR_0024,steinmetzlab,4,7,576
NR_0027,sub-NR_0027,steinmetzlab,4,7,630
NR_0028,sub-NR_0028,steinmetzlab,5,7,943
NR_0029,sub-NR_0029,steinmetzlab,5,5,115
NR_0031,sub-NR_0031,steinmetzlab,2,4,390
ibl_witten_13,sub-ibl_witten_13,wittenlab,3,4,567
ibl_witten_17,sub-ibl_witten_17,wittenlab,3,3,153
ibl_witten_18,sub-ibl_witten_18,wittenlab,3,3,327
ibl_witten_19,sub-ibl_witten_19,wittenlab,3,4,295
ibl_witten_20,sub-ibl_witten_20,wittenlab,3,4,635
ibl_witten_25,sub-ibl_witten_25,wittenlab,1,2,308
ibl_witten_26,sub-ibl_witten_26,wittenlab,5,8,900
ibl_witten_27,sub-ibl_witten_27,wittenlab,6,11,962
ibl_witten_29,sub-ibl_witten_29,wittenlab,9,11,881
ibl_witten_32,sub-ibl_witten_32,wittenlab,1,1,33
CSH_ZAD_001,sub-CSH_ZAD_001,zadorlab,1,1,50
CSH_ZAD_011,sub-CSH_ZAD_011,zadorlab,3,6,458
CSH_ZAD_019,sub-CSH_ZAD_019,zadorlab,4,8,798
CSH_ZAD_022,sub-CSH_ZAD_022,zadorlab,8,12,1387
CSH_ZAD_024,sub-CSH_ZAD_024,zadorlab,1,2,380
CSH_ZAD_025,sub-CSH_ZAD_025,zadorlab,7,12,1676
CSH_ZAD_026,sub-CSH_ZAD_026,zadorlab,6,11,1726
CSH_ZAD_029,sub-CSH_ZAD_029,zadorlab,7,14,1916
