subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes
NYU-11,sub-NYU-11,angelakilab,2020-02-18,1,6713a4a7-faed-4df2-acab-ee4e63326f8d,1,76,probe00
NYU-11,sub-NYU-11,angelakilab,2020-02-21,1,56956777-dca5-468c-87cb-78150432cc57,2,264,"probe00, probe01"
NYU-12,sub-NYU-12,angelakilab,2020-01-20,1,4364a246-f8d7-4ce7-ba23-a098104b96e4,1,163,probe01
NYU-12,sub-NYU-12,angelakilab,2020-01-21,1,b182b754-3c3e-4942-8144-6ee790926b58,1,234,probe01
NYU-12,sub-NYU-12,angelakilab,2020-01-22,1,a8a8af78-16de-4841-ab07-fde4b5281a03,2,126,"probe00, probe01"
NYU-12,sub-NYU-12,angelakilab,2020-01-23,1,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,2,132,"probe00, probe01"
NYU-21,sub-NYU-21,angelakilab,2020-08-13,2,8c33abef-3d3e-4d42-9f27-445e9def08f9,2,263,"probe00, probe01"
NYU-21,sub-NYU-21,angelakilab,2020-08-19,1,ebe2efe3-e8a1-451a-8947-76ef42427cc9,2,105,"probe00, probe01"
NYU-30,sub-NYU-30,angelakilab,2020-10-20,1,77e6dc6a-66ed-433c-b1a2-778c914f523c,1,95,probe00
NYU-30,sub-NYU-30,angelakilab,2020-10-21,1,5569f363-0934-464e-9a5b-77c8e67791a1,1,105,probe00
NYU-30,sub-NYU-30,angelakilab,2020-10-22,1,5ec72172-3901-4771-8777-6e9490ca51fc,2,198,"probe00, probe01"
NYU-37,sub-NYU-37,angelakilab,2021-01-25,1,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,2,260,"probe00, probe01"
NYU-37,sub-NYU-37,angelakilab,2021-01-26,1,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,2,288,"probe00, probe01"
NYU-37,sub-NYU-37,angelakilab,2021-01-27,1,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,2,230,"probe00, probe01"
NYU-37,sub-NYU-37,angelakilab,2021-01-30,1,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,2,439,"probe00, probe01"
NYU-37,sub-NYU-37,angelakilab,2021-02-01,1,21d21fc3-4201-4edc-802a-c67b61952548,1,61,probe00
NYU-39,sub-NYU-39,angelakilab,2021-05-10,1,6ed57216-498d-48a6-b48b-a243a34710ea,2,156,"probe00, probe01"
NYU-39,sub-NYU-39,angelakilab,2021-05-11,1,35ed605c-1a1a-47b1-86ff-2b56144f55af,2,195,"probe00, probe01"
NYU-39,sub-NYU-39,angelakilab,2021-05-12,1,fa1f26a1-eb49-4b24-917e-19f02a18ac61,2,129,"probe00, probe01"
NYU-39,sub-NYU-39,angelakilab,2021-05-13,2,ee212778-3903-4f5b-ac4b-a72f22debf03,2,146,"probe00, probe01"
