pid,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe
00a824c0-e060-495f-9ebc-79c82fef4c67,"Isocortex, MB",Isocortex:35; MB:32,2
00a96dee-1e8b-44cc-9cc3-aca704d2b594,"HB, MB",HB:129; MB:55,2
00c425fd-ec3e-4cd2-b8af-c0bc0c4bdd44,"HPF, Isocortex, OLF",HPF:44; Isocortex:43; OLF:5,3
0143d3fe-79c2-4922-8332-62c3e4e0ba85,MB,MB:28,1
01864e9d-0dbe-41d4-9e3a-0285348ecfc1,"HB, MB",HB:44; MB:38,2
01937b3b-8719-43c3-b5bd-14e6b0cf2802,"HB, CB",HB:175; CB:35,2
0228bcfd-632e-49bd-acd4-c334cf9213e9,CB,CB:127,1
02328ef5-47d4-4690-b020-04b6315aa2d6,"CNU, OLF",CNU:79; OLF:16,2
0259543e-1ca3-48e7-95c9-53f9e4c9bfcc,"CTXsp, TH, HPF, OLF",CTXsp:12; TH:8; HPF:1; OLF:1,4
02cc03e4-8015-4050-bb42-6c832091febb,"MB, Isocortex, HPF",MB:108; Isocortex:19; HPF:15,3
0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,"Isocortex, MB, HPF",Isocortex:60; MB:37; HPF:18,3
03c42ea1-1e04-4a3e-9b04-46d8568dcd02,"HB, CB",HB:104; CB:77,2
03d2d8d1-a116-4763-8425-4ef7b1c1bd35,"Isocortex, CTXsp, OLF",Isocortex:114; CTXsp:55; OLF:4,3
04690e35-ab38-41db-982c-50cbdf8d0dd1,"TH, HY, OLF, CNU, CTXsp",TH:48; HY:14; OLF:6; CNU:2; CTXsp:1,5
04c9890f-2276-4c20-854f-305ff5c9b6cf,"HB, CB",HB:94; CB:3,2
04db6b9e-a80c-4507-a98e-ad76294ac444,"CB, MB, HB",CB:125; MB:45; HB:42,3
0566938b-245d-4e5f-89ee-59d53a44f065,"HB, HPF",HB:68; HPF:12,2
05ccc92c-fcb0-4e92-84d3-de033890c7a8,"CTXsp, CNU, Isocortex",CTXsp:20; CNU:10; Isocortex:3,3
05ec6af9-6c83-422d-91a3-ba815fa65e92,"HB, CB",HB:24; CB:16,2
0685d767-80a2-49b6-a51a-0e9b1dd7a14d,"HB, MB, CB",HB:90; MB:3; CB:2,3
069c2674-80b0-44b4-a3d9-28337512967f,"MB, HB",MB:115; HB:26,2
06b677d6-b074-4444-bd4a-3235a310e6e0,"CB, MB",CB:139; MB:87,2
06c6741e-9f2a-4114-8ca9-0dc5ccc951e6,"Isocortex, OLF",Isocortex:38; OLF:30,2
06cb2ee3-0fb8-4ace-acbe-19c716f3ca40,"CNU, HY, Isocortex",CNU:48; HY:21; Isocortex:2,3
06d42449-d6ac-4c35-8f85-24ecfbc08bc1,"CNU, Isocortex",CNU:76; Isocortex:4,2
