eid,subject,lab,date,session_number,n_trials,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_registered_datasets,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session
6713a4a7-faed-4df2-acab-ee4e63326f8d,NYU-11,angelakilab,2020-02-18,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,141,"TH, HPF",TH:69; HPF:3,2
56956777-dca5-468c-87cb-78150432cc57,NYU-11,angelakilab,2020-02-21,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,233,"TH, CNU, CTXsp, HPF, OLF, Isocortex",TH:74; CNU:67; CTXsp:64; HPF:13; OLF:8; Isocortex:7,6
4364a246-f8d7-4ce7-ba23-a098104b96e4,NYU-12,angelakilab,2020-01-20,1,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,144,"TH, HY",TH:157; HY:6,2
b182b754-3c3e-4942-8144-6ee790926b58,NYU-12,angelakilab,2020-01-21,1,,True,probe01,1,True,right,True,right,DLC + Lightning Pose,122,"MB, HB",MB:114; HB:99,2
a8a8af78-16de-4841-ab07-fde4b5281a03,NYU-12,angelakilab,2020-01-22,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,255,"HPF, TH, Isocortex",HPF:77; TH:37; Isocortex:10,3
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,NYU-12,angelakilab,2020-01-23,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,236,"OLF, CTXsp, HPF, Isocortex, MB",OLF:42; CTXsp:28; HPF:28; Isocortex:12; MB:11,5
8c33abef-3d3e-4d42-9f27-445e9def08f9,NYU-21,angelakilab,2020-08-13,2,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"TH, CNU, Isocortex",TH:71; CNU:59; Isocortex:51,3
ebe2efe3-e8a1-451a-8947-76ef42427cc9,NYU-21,angelakilab,2020-08-19,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"TH, CNU, Isocortex, HY",TH:45; CNU:34; Isocortex:16; HY:10,4
77e6dc6a-66ed-433c-b1a2-778c914f523c,NYU-30,angelakilab,2020-10-20,1,,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,152,"Isocortex, OLF, CTXsp",Isocortex:40; OLF:29; CTXsp:22,3
5569f363-0934-464e-9a5b-77c8e67791a1,NYU-30,angelakilab,2020-10-21,1,,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,151,"Isocortex, OLF",Isocortex:53; OLF:52,2
5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,angelakilab,2020-10-22,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,249,"Isocortex, OLF, CNU",Isocortex:128; OLF:55; CNU:14,3
7af49c00-63dd-4fed-b2e0-1b3bd945b20b,NYU-37,angelakilab,2021-01-25,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,265,"TH, CNU, Isocortex, HPF, MB",TH:111; CNU:58; Isocortex:51; HPF:22; MB:16,5
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,NYU-37,angelakilab,2021-01-26,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,242,"CB, Isocortex, CNU",CB:191; Isocortex:54; CNU:35,3
83d85891-bd75-4557-91b4-1cbb5f8bfc9d,NYU-37,angelakilab,2021-01-27,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"CB, TH, HY",CB:179; TH:23; HY:2,3
aec5d3cc-4bb2-4349-80a9-0395b76f04e2,NYU-37,angelakilab,2021-01-30,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"CB, HB",CB:189; HB:137,2
