eid,mouse_id,session_date,target,r2,r2_corrected,null_median,p_shuffle,n_trials,n_units
03063955-2523-47bd-ae57-f7489dd40f15,SWC_038,2020-08-01,wheel_speed,0.323,0.32,0.003,0.167,161,38
03063955-2523-47bd-ae57-f7489dd40f15,SWC_038,2020-08-01,paw_speed,0.158,0.2,-0.042,0.167,157,38
03063955-2523-47bd-ae57-f7489dd40f15,SWC_038,2020-08-01,paw_speed_norm,0.245,0.292,-0.047,0.167,157,38
0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,2022-08-22,wheel_speed,-0.349,0.18,-0.529,0.167,23,69
0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,2022-08-22,paw_speed,-0.274,0.0919999999999999,-0.366,0.333,20,69
0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,2022-08-22,paw_speed_norm,0.127,0.476,-0.349,0.167,20,69
113c5b6c-940e-4b21-b462-789b4c2be0e5,ZFM-01937,2021-04-08,wheel_speed,0.432,0.45,-0.018,0.167,128,37
113c5b6c-940e-4b21-b462-789b4c2be0e5,ZFM-01937,2021-04-08,paw_speed,0.344,0.3389999999999999,0.005,0.167,128,37
113c5b6c-940e-4b21-b462-789b4c2be0e5,ZFM-01937,2021-04-08,paw_speed_norm,0.409,0.435,-0.026,0.167,128,37
1e45d992-c356-40e1-9be1-a506d944896f,SWC_038,2020-07-31,wheel_speed,0.561,0.5730000000000001,-0.012,0.167,148,46
1e45d992-c356-40e1-9be1-a506d944896f,SWC_038,2020-07-31,paw_speed,0.45,0.5,-0.05,0.167,146,46
1e45d992-c356-40e1-9be1-a506d944896f,SWC_038,2020-07-31,paw_speed_norm,0.45,0.487,-0.037,0.167,146,46
259927fd-7563-4b03-bc5d-17b4d0fa7a55,ZM_2240,2020-01-22,wheel_speed,0.06,0.063,-0.003,0.167,111,8
259927fd-7563-4b03-bc5d-17b4d0fa7a55,ZM_2240,2020-01-22,paw_speed,0.027,0.039,-0.012,0.167,108,8
259927fd-7563-4b03-bc5d-17b4d0fa7a55,ZM_2240,2020-01-22,paw_speed_norm,0.027,0.043,-0.016,0.167,108,8
2c44a360-5a56-4971-8009-f469fb59de98,ZFM-01936,2021-01-23,wheel_speed,0.109,0.135,-0.026,0.167,46,39
2c44a360-5a56-4971-8009-f469fb59de98,ZFM-01936,2021-01-23,paw_speed,-0.077,0.136,-0.213,0.167,44,39
2c44a360-5a56-4971-8009-f469fb59de98,ZFM-01936,2021-01-23,paw_speed_norm,-0.106,0.15,-0.256,0.167,44,39
2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,2020-03-09,wheel_speed,0.466,0.357,0.109,0.167,88,50
2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,2020-03-09,paw_speed,0.337,0.359,-0.022,0.167,85,50
2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,2020-03-09,paw_speed_norm,0.338,0.31,0.028,0.167,85,50
360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7,SWC_061,2020-11-26,wheel_speed,0.18,0.1149999999999999,0.065,0.167,92,9
360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7,SWC_061,2020-11-26,paw_speed,0.208,0.131,0.077,0.167,92,9
360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7,SWC_061,2020-11-26,paw_speed_norm,0.188,0.147,0.041,0.167,92,9
36280321-555b-446d-9b7d-c2e17991e090,DY_011,2020-02-01,wheel_speed,0.126,0.104,0.022,0.167,147,29
36280321-555b-446d-9b7d-c2e17991e090,DY_011,2020-02-01,paw_speed,0.038,0.0579999999999999,-0.02,0.167,134,29
36280321-555b-446d-9b7d-c2e17991e090,DY_011,2020-02-01,paw_speed_norm,0.04,0.06,-0.02,0.167,134,29
4aa1d525-5c7d-4c50-a147-ec53a9014812,ZFM-01936,2021-01-20,wheel_speed,0.452,0.55,-0.098,0.167,74,86
4aa1d525-5c7d-4c50-a147-ec53a9014812,ZFM-01936,2021-01-20,paw_speed,0.351,0.42,-0.069,0.167,73,86
4aa1d525-5c7d-4c50-a147-ec53a9014812,ZFM-01936,2021-01-20,paw_speed_norm,0.32,0.49,-0.17,0.167,73,86
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,UCLA033,2022-02-17,wheel_speed,-0.007,0.1399999999999999,-0.147,0.5,26,39
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,UCLA033,2022-02-17,paw_speed,-0.057,0.0489999999999999,-0.106,0.5,26,39
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,UCLA033,2022-02-17,paw_speed_norm,0.085,0.213,-0.128,0.167,26,39
5569f363-0934-464e-9a5b-77c8e67791a1,NYU-30,2020-10-21,wheel_speed,0.063,0.031,0.032,0.167,134,8
5569f363-0934-464e-9a5b-77c8e67791a1,NYU-30,2020-10-21,paw_speed,0.043,0.0569999999999999,-0.014,0.167,108,8
5569f363-0934-464e-9a5b-77c8e67791a1,NYU-30,2020-10-21,paw_speed_norm,0.006,0.0489999999999999,-0.043,0.167,108,8
57b5ae8f-d446-4161-b439-b191c5e3e77b,CSHL059,2020-03-05,wheel_speed,0.237,0.1169999999999999,0.12,0.167,127,54
57b5ae8f-d446-4161-b439-b191c5e3e77b,CSHL059,2020-03-05,paw_speed,0.217,0.1159999999999999,0.101,0.167,122,54
57b5ae8f-d446-4161-b439-b191c5e3e77b,CSHL059,2020-03-05,paw_speed_norm,0.231,0.124,0.107,0.167,122,54
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,CSH_ZAD_019,2020-08-16,wheel_speed,0.514,0.457,0.057,0.167,171,93
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,CSH_ZAD_019,2020-08-16,paw_speed,0.438,0.483,-0.045,0.167,163,93
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,CSH_ZAD_019,2020-08-16,paw_speed_norm,0.438,0.44,-0.002,0.167,163,93
5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,2020-10-22,wheel_speed,0.084,0.061,0.023,0.167,218,41
5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,2020-10-22,paw_speed,-0.09,0.006,-0.096,0.5,176,41
5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,2020-10-22,paw_speed_norm,-0.132,-0.002,-0.13,0.667,176,41
626126d5-eecf-4e9b-900e-ec29a17ece07,CSH_ZAD_026,2020-08-18,wheel_speed,0.611,0.4479999999999999,0.163,0.167,158,67
626126d5-eecf-4e9b-900e-ec29a17ece07,CSH_ZAD_026,2020-08-18,paw_speed,0.422,0.4659999999999999,-0.044,0.167,153,67
626126d5-eecf-4e9b-900e-ec29a17ece07,CSH_ZAD_026,2020-08-18,paw_speed_norm,0.422,0.443,-0.021,0.167,153,67
62902992-8432-46fb-af12-6392012e58c7,PL033,2022-10-04,wheel_speed,0.25,0.196,0.054,0.167,133,21
62902992-8432-46fb-af12-6392012e58c7,PL033,2022-10-04,paw_speed,0.12,0.141,-0.021,0.167,127,21
62902992-8432-46fb-af12-6392012e58c7,PL033,2022-10-04,paw_speed_norm,0.114,0.137,-0.023,0.167,127,21
6f36868f-5cc1-450c-82fa-6b9829ce0cfe,UCLA035,2022-02-18,wheel_speed,0.255,0.203,0.052,0.167,114,66
6f36868f-5cc1-450c-82fa-6b9829ce0cfe,UCLA035,2022-02-18,paw_speed,0.193,0.178,0.015,0.167,110,66
6f36868f-5cc1-450c-82fa-6b9829ce0cfe,UCLA035,2022-02-18,paw_speed_norm,0.185,0.199,-0.014,0.167,110,66
6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,ZFM-02370,2021-04-28,wheel_speed,0.028,0.092,-0.064,0.167,61,53
6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,ZFM-02370,2021-04-28,paw_speed,0.098,0.18,-0.082,0.167,59,53
6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,ZFM-02370,2021-04-28,paw_speed_norm,0.096,0.152,-0.056,0.167,59,53
77e6dc6a-66ed-433c-b1a2-778c914f523c,NYU-30,2020-10-20,wheel_speed,0.283,0.1219999999999999,0.161,0.167,166,22
77e6dc6a-66ed-433c-b1a2-778c914f523c,NYU-30,2020-10-20,paw_speed,0.112,0.114,-0.002,0.167,117,22
77e6dc6a-66ed-433c-b1a2-778c914f523c,NYU-30,2020-10-20,paw_speed_norm,0.116,0.098,0.018,0.167,117,22
78b4fff5-c5ec-44d9-b5f9-d59493063f00,KS091,2022-07-04,wheel_speed,-0.078,0.0419999999999999,-0.12,0.333,30,15
78b4fff5-c5ec-44d9-b5f9-d59493063f00,KS091,2022-07-04,paw_speed,-0.073,-0.0479999999999999,-0.025,0.833,29,15
78b4fff5-c5ec-44d9-b5f9-d59493063f00,KS091,2022-07-04,paw_speed_norm,-0.075,-0.0169999999999999,-0.058,1.0,29,15
7bee9f09-a238-42cf-b499-f51f765c6ded,DY_011,2020-01-31,wheel_speed,0.108,0.032,0.076,0.333,110,25
7bee9f09-a238-42cf-b499-f51f765c6ded,DY_011,2020-01-31,paw_speed,0.034,0.083,-0.049,0.167,107,25
7bee9f09-a238-42cf-b499-f51f765c6ded,DY_011,2020-01-31,paw_speed_norm,0.016,0.072,-0.056,0.167,107,25
7f150b7c-c261-46e6-9edb-cc391c9d9f03,PL033,2022-10-10,wheel_speed,0.039,-0.0049999999999999,0.044,0.667,116,5
7f150b7c-c261-46e6-9edb-cc391c9d9f03,PL033,2022-10-10,paw_speed,0.104,0.096,0.008,0.167,112,5
7f150b7c-c261-46e6-9edb-cc391c9d9f03,PL033,2022-10-10,paw_speed_norm,0.101,0.096,0.005,0.167,112,5
81a78eac-9d36-4f90-a73a-7eb3ad7f770b,CSH_ZAD_026,2020-08-17,wheel_speed,0.515,0.363,0.152,0.167,216,143
81a78eac-9d36-4f90-a73a-7eb3ad7f770b,CSH_ZAD_026,2020-08-17,paw_speed,0.267,0.287,-0.02,0.167,205,143
81a78eac-9d36-4f90-a73a-7eb3ad7f770b,CSH_ZAD_026,2020-08-17,paw_speed_norm,0.3,0.39,-0.09,0.167,205,143
88d24c31-52e4-49cc-9f32-6adbeb9eba87,SWC_043,2020-09-19,wheel_speed,0.155,0.146,0.009,0.167,96,18
88d24c31-52e4-49cc-9f32-6adbeb9eba87,SWC_043,2020-09-19,paw_speed,0.16,0.19,-0.03,0.167,96,18
88d24c31-52e4-49cc-9f32-6adbeb9eba87,SWC_043,2020-09-19,paw_speed_norm,0.143,0.205,-0.062,0.167,96,18
8c33abef-3d3e-4d42-9f27-445e9def08f9,NYU-21,2020-08-13,wheel_speed,0.458,0.342,0.116,0.167,30,51
8c33abef-3d3e-4d42-9f27-445e9def08f9,NYU-21,2020-08-13,paw_speed,0.447,0.317,0.13,0.167,25,51
8c33abef-3d3e-4d42-9f27-445e9def08f9,NYU-21,2020-08-13,paw_speed_norm,0.446,0.37,0.076,0.167,25,51
8d316998-28c3-4265-b029-e2ca82375b2f,UCLA037,2022-02-09,wheel_speed,0.133,0.287,-0.154,0.167,61,226
8d316998-28c3-4265-b029-e2ca82375b2f,UCLA037,2022-02-09,paw_speed,-0.082,0.3279999999999999,-0.41,0.167,60,226
8d316998-28c3-4265-b029-e2ca82375b2f,UCLA037,2022-02-09,paw_speed_norm,-0.097,0.204,-0.301,0.167,60,226
9468fa93-21ae-4984-955c-e8402e280c83,KS043,2020-12-06,wheel_speed,0.053,0.064,-0.011,0.167,120,9
9468fa93-21ae-4984-955c-e8402e280c83,KS043,2020-12-06,paw_speed,0.034,0.052,-0.018,0.167,119,9
9468fa93-21ae-4984-955c-e8402e280c83,KS043,2020-12-06,paw_speed_norm,0.039,0.053,-0.014,0.167,119,9
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,ZFM-01576,2020-12-03,wheel_speed,0.501,0.469,0.032,0.167,465,65
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,ZFM-01576,2020-12-03,paw_speed,0.501,0.449,0.052,0.167,462,65
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,ZFM-01576,2020-12-03,paw_speed_norm,0.501,0.44,0.061,0.167,462,65
a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,KS023,2019-12-06,wheel_speed,0.221,0.2,0.021,0.167,228,22
a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,KS023,2019-12-06,paw_speed,0.138,0.123,0.015,0.167,228,22
a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,KS023,2019-12-06,paw_speed_norm,0.154,0.121,0.033,0.167,228,22
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,KS023,2019-12-08,wheel_speed,0.193,0.07,0.123,0.167,353,13
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,KS023,2019-12-08,paw_speed,0.131,0.116,0.015,0.167,336,13
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,KS023,2019-12-08,paw_speed_norm,0.14,0.136,0.004,0.167,336,13
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,KS046,2020-12-05,wheel_speed,0.596,0.629,-0.033,0.167,113,42
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,KS046,2020-12-05,paw_speed,0.507,0.542,-0.035,0.167,111,42
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,KS046,2020-12-05,paw_speed_norm,0.513,0.534,-0.021,0.167,111,42
b69b86be-af7d-4ecf-8cbf-0cd356afa1bd,CSH_ZAD_026,2020-08-19,wheel_speed,0.328,0.285,0.043,0.167,56,17
b69b86be-af7d-4ecf-8cbf-0cd356afa1bd,CSH_ZAD_026,2020-08-19,paw_speed,0.11,0.106,0.004,0.167,55,17
b69b86be-af7d-4ecf-8cbf-0cd356afa1bd,CSH_ZAD_026,2020-08-19,paw_speed_norm,0.108,0.188,-0.08,0.167,55,17
bd456d8f-d36e-434a-8051-ff3997253802,DY_014,2020-07-17,wheel_speed,0.709,0.3169999999999999,0.392,0.167,90,57
bd456d8f-d36e-434a-8051-ff3997253802,DY_014,2020-07-17,paw_speed,0.364,0.206,0.158,0.167,86,57
bd456d8f-d36e-434a-8051-ff3997253802,DY_014,2020-07-17,paw_speed_norm,0.365,0.173,0.192,0.167,86,57
cb2ad999-a6cb-42ff-bf71-1774c57e5308,ZM_2245,2020-01-21,wheel_speed,0.406,0.406,0.0,0.167,199,36
cb2ad999-a6cb-42ff-bf71-1774c57e5308,ZM_2245,2020-01-21,paw_speed,0.288,0.304,-0.016,0.167,198,36
