subject,dataset_mouse_id,lab,n_sessions_mouse,n_probes_mouse,n_good_units_mouse,date,session_number,eid,n_probes_session,n_good_units_session,probe_name,pid,n_good_units,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available_session,raw_lfp_available_probe,raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-11,sub-NYU-11,angelakilab,2,3,340,2020-02-18,1,6713a4a7-faed-4df2-acab-ee4e63326f8d,1,76,probe00,56f2a378-78d2-4132-b3c8-8c1ba82be598,76,"TH, HPF",TH:69; HPF:3,2,"TH, HPF",TH:69; HPF:3,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,565,395,170,0.699115
NYU-11,sub-NYU-11,angelakilab,2,3,340,2020-02-21,1,56956777-dca5-468c-87cb-78150432cc57,2,264,probe00,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,95,"TH, HPF, Isocortex",TH:74; HPF:13; Isocortex:7,3,"TH, CNU, CTXsp, HPF, OLF, Isocortex",TH:74; CNU:67; CTXsp:64; HPF:13; OLF:8; Isocortex:7,6,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,425,245,180,0.576471
NYU-11,sub-NYU-11,angelakilab,2,3,340,2020-02-21,1,56956777-dca5-468c-87cb-78150432cc57,2,264,probe01,47be9ae4-290f-46ab-b047-952bc3a1a509,169,"CNU, CTXsp, OLF",CNU:67; CTXsp:64; OLF:8,3,"TH, CNU, CTXsp, HPF, OLF, Isocortex",TH:74; CNU:67; CTXsp:64; HPF:13; OLF:8; Isocortex:7,6,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,425,245,180,0.576471
NYU-12,sub-NYU-12,angelakilab,4,6,655,2020-01-20,1,4364a246-f8d7-4ce7-ba23-a098104b96e4,1,163,probe01,8dfb86c8-d45c-46c4-90ec-33078014d434,163,"TH, HY",TH:157; HY:6,2,"TH, HY",TH:157; HY:6,2,True,True,probe01,True,"left, right",True,"left, right",DLC + Lightning Pose,557,161,396,0.289048
NYU-12,sub-NYU-12,angelakilab,4,6,655,2020-01-21,1,b182b754-3c3e-4942-8144-6ee790926b58,1,234,probe01,c893c0a3-5597-49cf-baa1-60efdfdef542,234,"MB, HB",MB:114; HB:99,2,"MB, HB",MB:114; HB:99,2,True,True,probe01,True,right,True,right,DLC + Lightning Pose,444,238,206,0.536036
NYU-12,sub-NYU-12,angelakilab,4,6,655,2020-01-22,1,a8a8af78-16de-4841-ab07-fde4b5281a03,2,126,probe00,1e176f17-d00f-49bb-87ff-26d237b525f1,59,"TH, HPF, Isocortex",TH:37; HPF:12; Isocortex:10,3,"HPF, TH, Isocortex",HPF:77; TH:37; Isocortex:10,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,550,341,209,0.62
NYU-12,sub-NYU-12,angelakilab,4,6,655,2020-01-22,1,a8a8af78-16de-4841-ab07-fde4b5281a03,2,126,probe01,701026df-e170-4ca7-88aa-eb0b95ef6ba1,67,HPF,HPF:65,1,"HPF, TH, Isocortex",HPF:77; TH:37; Isocortex:10,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,550,341,209,0.62
NYU-12,sub-NYU-12,angelakilab,4,6,655,2020-01-23,1,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,2,132,probe00,d213e786-4b1c-477d-a710-766d69fa1ac1,29,"Isocortex, MB, HPF",Isocortex:12; MB:11; HPF:4,3,"OLF, CTXsp, HPF, Isocortex, MB",OLF:42; CTXsp:28; HPF:28; Isocortex:12; MB:11,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,581,293,288,0.504303
NYU-12,sub-NYU-12,angelakilab,4,6,655,2020-01-23,1,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,2,132,probe01,6506252f-1141-4e11-8816-4db01b71dda0,103,"OLF, CTXsp, HPF",OLF:42; CTXsp:28; HPF:24,3,"OLF, CTXsp, HPF, Isocortex, MB",OLF:42; CTXsp:28; HPF:28; Isocortex:12; MB:11,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,581,293,288,0.504303
NYU-21,sub-NYU-21,angelakilab,2,4,368,2020-08-13,2,8c33abef-3d3e-4d42-9f27-445e9def08f9,2,263,probe00,f475ae14-9415-453e-b800-1480ea1c868d,141,"Isocortex, CNU",Isocortex:51; CNU:46,2,"TH, CNU, Isocortex",TH:71; CNU:59; Isocortex:51,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,721,492,229,0.682386
