subject,dataset_mouse_id,lab,motor_cortex_sessions,motor_cortex_probes,MOp_good_units,MOs_good_units,motor_cortex_good_units,total_trials_motor_sessions,bwm_included_trials_motor_sessions,motor_sessions_with_raw_lfp,motor_sessions_with_DLC_and_Lightning_Pose,motor_sessions_with_neither_pose,motor_session_dates
NYU-21,sub-NYU-21,angelakilab,2,2,67,0,67,1393,839,2,2,0,"2020-08-13, 2020-08-19"
NYU-30,sub-NYU-30,angelakilab,3,3,22,49,71,2434,1801,3,3,0,"2020-10-20, 2020-10-21, 2020-10-22"
NYU-37,sub-NYU-37,angelakilab,1,1,54,0,54,401,228,1,1,0,2021-01-26
NYU-39,sub-NYU-39,angelakilab,1,1,1,0,1,605,504,1,1,0,2021-05-12
NYU-48,sub-NYU-48,angelakilab,1,1,0,7,7,615,478,1,1,0,2021-06-29
CSHL049,sub-CSHL049,churchlandlab,2,2,4,85,89,1396,922,2,2,0,"2020-01-10, 2020-01-11"
CSHL058,sub-CSHL058,churchlandlab,2,3,0,73,73,1050,760,2,2,0,"2020-07-08, 2020-07-11"
CSHL059,sub-CSHL059,churchlandlab,2,3,154,0,154,1164,729,2,2,0,"2020-03-03, 2020-03-05"
CSHL060,sub-CSHL060,churchlandlab,2,2,0,53,53,1519,1132,2,2,0,"2020-03-09, 2020-03-11"
UCLA033,sub-UCLA033,churchlandlab_ucla,1,1,25,14,39,634,364,1,1,0,2022-02-17
UCLA034,sub-UCLA034,churchlandlab_ucla,1,1,0,38,38,496,326,1,1,0,2022-01-26
UCLA035,sub-UCLA035,churchlandlab_ucla,2,2,66,2,68,1750,951,2,2,0,"2022-02-18, 2022-02-24"
UCLA037,sub-UCLA037,churchlandlab_ucla,1,1,214,12,226,610,405,1,1,0,2022-02-09
KS023,sub-KS023,cortexlab,3,3,0,87,87,2094,1581,3,3,0,"2019-12-06, 2019-12-08, 2019-12-10"
KS043,sub-KS043,cortexlab,1,1,0,9,9,514,378,1,1,0,2020-12-06
KS046,sub-KS046,cortexlab,2,2,42,48,90,1409,1003,2,2,0,"2020-12-04, 2020-12-05"
KS051,sub-KS051,cortexlab,1,1,44,0,44,405,264,1,0,1,2021-05-13
KS052,sub-KS052,cortexlab,1,1,0,14,14,691,524,1,0,1,2021-05-13
KS091,sub-KS091,cortexlab,1,1,0,15,15,892,615,1,1,0,2022-07-04
DY_011,sub-DY_011,danlab,3,3,64,10,74,1407,1101,3,3,0,"2020-01-31, 2020-02-01, 2020-02-08"
DY_014,sub-DY_014,danlab,2,2,84,44,128,1183,959,2,2,0,"2020-07-17, 2020-07-18"
PL033,sub-PL033,hausserlab,3,3,26,15,41,1901,1071,3,3,0,"2022-10-04, 2022-10-06, 2022-10-10"
SWC_043,sub-SWC_043,hoferlab,4,4,22,28,50,2617,1780,4,4,0,"2020-09-15, 2020-09-16, 2020-09-19, 2020-09-21"
SWC_061,sub-SWC_061,hoferlab,2,2,0,13,13,1295,904,2,2,0,"2020-11-23, 2020-11-26"
ZFM-01576,sub-ZFM-01576,mainenlab,1,1,47,18,65,1007,609,1,1,0,2020-12-03
ZFM-01936,sub-ZFM-01936,mainenlab,2,2,94,31,125,1166,704,2,2,0,"2021-01-20, 2021-01-23"
ZFM-01937,sub-ZFM-01937,mainenlab,1,1,20,17,37,436,304,1,1,0,2021-04-08
ZFM-02370,sub-ZFM-02370,mainenlab,1,1,0,53,53,552,394,1,1,0,2021-04-28
ZM_1897,sub-ZM_1897,mainenlab,1,1,0,20,20,413,332,1,0,1,2019-12-02
ZM_2240,sub-ZM_2240,mainenlab,2,2,0,80,80,1073,790,2,2,0,"2020-01-21, 2020-01-22"
ZM_2241,sub-ZM_2241,mainenlab,1,1,0,69,69,872,559,1,1,0,2020-01-27
ZM_2245,sub-ZM_2245,mainenlab,1,1,0,36,36,872,680,1,1,0,2020-01-21
SWC_038,sub-SWC_038,mrsicflogellab,3,4,38,181,219,2257,1553,3,2,1,"2020-07-30, 2020-07-31, 2020-08-01"
NR_0027,sub-NR_0027,steinmetzlab,2,4,21,113,134,2076,1166,2,2,0,"2022-08-22, 2022-08-23"
ibl_witten_19,sub-ibl_witten_19,wittenlab,1,1,0,3,3,458,359,1,1,0,2020-07-23
ibl_witten_32,sub-ibl_witten_32,wittenlab,1,1,0,1,1,406,144,1,1,0,2021-07-21
CSH_ZAD_019,sub-CSH_ZAD_019,zadorlab,1,2,93,0,93,672,440,1,1,0,2020-08-16
CSH_ZAD_024,sub-CSH_ZAD_024,zadorlab,1,1,0,51,51,751,492,1,1,0,2020-06-08
CSH_ZAD_026,sub-CSH_ZAD_026,zadorlab,4,5,256,4,260,3120,2119,4,4,0,"2020-08-15, 2020-08-17, 2020-08-18, 2020-08-19"
