task,pool,target,ablation,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,wheel_speed,a1,0.4265886940661957,0.7095198035240173,0.48450684547424316,0.6828914226062772,1016,0.2612795320515206,0.6379155854521392,45
trial_holdout,mean,paw_speed,a1,0.2955602126284087,507.51458740234375,310.18341064453125,0.5445408206245864,1016,0.15994828246247855,0.3375594447699556,45
trial_holdout,attn,wheel_speed,a1,0.4188700400762865,0.7142791748046875,0.4920690357685089,0.6811504086359902,1016,0.2761973657292392,0.5072165295646166,45
trial_holdout,attn,paw_speed,a1,0.291100877136108,509.118408203125,303.360595703125,0.5396132810101066,1016,0.19199212852408304,0.29654451564165907,45
session_holdout,mean,wheel_speed,a1,0.5830998325491334,0.681704580783844,0.44708451628685,0.7676536075963944,4694,0.4988165584308467,0.7188750155901937,237
session_holdout,mean,paw_speed,a1,0.19704507381520864,355.57861328125,236.9281463623047,0.6404520356767605,4694,-1.172562845850083,0.08189849406771255,237
session_holdout,attn,wheel_speed,a1,0.5474787745620868,0.7102310657501221,0.4842525124549866,0.7496942847915226,4694,0.4760507001637271,0.6798197413682583,237
session_holdout,attn,paw_speed,a1,0.12599432887463757,370.9771728515625,259.7379150390625,0.6253580273306095,4694,-1.2792431140180596,0.06753516176207364,237
mouse_holdout,mean,wheel_speed,a1,0.2709606647576476,0.8128429651260376,0.5401080250740051,0.5327716332691851,8433,0.2741676725263369,0.44780735129421867,371
mouse_holdout,mean,paw_speed,a1,0.26162040035521106,500.2247314453125,321.2434387207031,0.512887946074417,8433,-9.656478870038429,0.3295442081118095,371
mouse_holdout,attn,wheel_speed,a1,0.2118451109334627,0.845156192779541,0.5539124011993408,0.5043390412246099,8433,0.177123843955107,0.30154283073998633,371
mouse_holdout,attn,paw_speed,a1,0.21636198210755286,515.3272094726562,324.9957580566406,0.4739777878931143,8433,-8.6795628418829,0.268078581355077,371
