task,model,target,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,layer_tiles_spatial,wheel_speed,0.1975573947038577,0.8393409252166748,0.5377951860427856,0.6199083440505726,1016,-0.05354168616543198,0.5384669818102275,45
trial_holdout,layer_tiles_spatial,paw_speed,0.3781005455387998,476.8553771972656,312.9040222167969,0.6204879041194294,1016,-0.03951636936342901,0.22400098192994755,45
trial_holdout,layer_tiles_flat,wheel_speed,0.38863804938501156,0.7326231002807617,0.45830222964286804,0.6846529295723213,1016,0.16778321770056934,0.6362572477281901,45
trial_holdout,layer_tiles_flat,paw_speed,0.4456062081909222,450.23138427734375,266.85723876953125,0.6700395165180283,1016,0.247799810134867,0.40757988052100635,45
session_holdout,layer_tiles_spatial,wheel_speed,0.4423600633416409,0.7884190082550049,0.5484572052955627,0.6726813691756038,4694,0.38619861547854945,0.6032281965452329,237
session_holdout,layer_tiles_spatial,paw_speed,-0.20821445447310127,436.1763000488281,326.95184326171875,0.4947612692242352,4694,-2.740029542420204,-0.4757939402252451,237
session_holdout,layer_tiles_flat,wheel_speed,0.4496092576288361,0.783277690410614,0.5369244813919067,0.6865810867983384,4694,0.4065914535653367,0.5561669572556918,237
session_holdout,layer_tiles_flat,paw_speed,-0.22522472742580213,439.2359924316406,333.7736511230469,0.5001947525735523,4694,-2.8517533935924075,-0.5405545442719306,237
mouse_holdout,layer_tiles_spatial,wheel_speed,-0.09858159390337407,0.9978088140487671,0.632389485836029,0.34867533876386453,8433,-0.16252324465074428,-0.10166166361211171,371
mouse_holdout,layer_tiles_spatial,paw_speed,-0.08337983296606355,605.9205322265625,364.4148864746094,0.22494953997147876,8433,-2.4451955025409515,-0.03822228562806984,371
mouse_holdout,layer_tiles_flat,wheel_speed,-0.39233202168185466,1.1233175992965698,0.7241692543029785,0.21519303790881883,8433,-0.5361847942569681,-0.44365586114900846,371
mouse_holdout,layer_tiles_flat,paw_speed,-0.24104917573384443,648.5147094726562,385.52935791015625,0.19530607547210066,8433,-1.0074037412658303,-0.288920112787566,371
trial_holdout,aniso3d_spatial,wheel_speed,0.2945966225278236,0.7869554758071899,0.5423152446746826,0.6488450884058885,1016,0.09095094935746112,0.5335160800575323,45
trial_holdout,aniso3d_spatial,paw_speed,0.32174881133314026,497.991455078125,311.9703369140625,0.5742267292859766,1016,0.103363513672584,0.25959888109558826,45
trial_holdout,aniso3d_flat,wheel_speed,0.3821096162344807,0.7365243434906006,0.513810396194458,0.6474644721867329,1016,0.2478607754462114,0.5019828108526924,45
trial_holdout,aniso3d_flat,paw_speed,0.2066626904485197,538.5866088867188,331.4018249511719,0.46042315713127463,1016,0.06316480030776564,0.28296200690248396,45
session_holdout,aniso3d_spatial,wheel_speed,0.5616242840530052,0.6990422010421753,0.43776220083236694,0.7515531984673518,4694,0.4972041372053537,0.6544983951804617,237
session_holdout,aniso3d_spatial,paw_speed,0.38173048190931347,312.01751708984375,185.73452758789062,0.6293122334355735,4694,0.11719304270924641,0.46036490749036985,237
session_holdout,aniso3d_flat,wheel_speed,0.4300065018991611,0.7971042394638062,0.5528590083122253,0.6625600175184503,4694,0.3633690120733695,0.619845629900117,237
session_holdout,aniso3d_flat,paw_speed,-0.01706821073976794,400.1889343261719,284.1206970214844,0.46628880369745396,4694,-1.7795516144531143,-0.15866062011051918,237
mouse_holdout,aniso3d_spatial,wheel_speed,0.239906639127341,0.8299742937088013,0.5698030591011047,0.5535198076042072,8433,0.13224898156121734,0.4184954325514435,371
mouse_holdout,aniso3d_spatial,paw_speed,0.22596700917917678,512.1593017578125,347.4765930175781,0.5149491810017329,8433,-10.734185305260805,0.29974321446953833,371
mouse_holdout,aniso3d_flat,wheel_speed,0.296309367358649,0.7985867261886597,0.5288649797439575,0.5522776564528847,8433,0.2978549608234088,0.4562608451923429,371
mouse_holdout,aniso3d_flat,paw_speed,0.2766140918531179,495.1198425292969,313.8717346191406,0.5278732736071692,8433,-8.71123534739346,0.3512255051560803,371
