eid,mouse_id,n_units,n_voxels,units_per_voxel,frac_of_occupied_global
03063955-2523-47bd-ae57-f7489dd40f15,SWC_038,38,5,7.6,0.04132231404958678
0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,69,6,11.5,0.049586776859504134
113c5b6c-940e-4b21-b462-789b4c2be0e5,ZFM-01937,37,5,7.4,0.04132231404958678
1e45d992-c356-40e1-9be1-a506d944896f,SWC_038,46,5,9.2,0.04132231404958678
259927fd-7563-4b03-bc5d-17b4d0fa7a55,ZM_2240,8,1,8.0,0.008264462809917356
2c44a360-5a56-4971-8009-f469fb59de98,ZFM-01936,39,4,9.75,0.03305785123966942
2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,50,5,10.0,0.04132231404958678
360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7,SWC_061,9,2,4.5,0.01652892561983471
36280321-555b-446d-9b7d-c2e17991e090,DY_011,29,4,7.25,0.03305785123966942
4aa1d525-5c7d-4c50-a147-ec53a9014812,ZFM-01936,86,5,17.2,0.04132231404958678
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,UCLA033,39,5,7.8,0.04132231404958678
5569f363-0934-464e-9a5b-77c8e67791a1,NYU-30,8,1,8.0,0.008264462809917356
57b5ae8f-d446-4161-b439-b191c5e3e77b,CSHL059,54,4,13.5,0.03305785123966942
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,CSH_ZAD_019,93,7,13.285714285714286,0.05785123966942149
5ec72172-3901-4771-8777-6e9490ca51fc,NYU-30,41,2,20.5,0.01652892561983471
626126d5-eecf-4e9b-900e-ec29a17ece07,CSH_ZAD_026,67,3,22.333333333333332,0.024793388429752067
62902992-8432-46fb-af12-6392012e58c7,PL033,21,1,21.0,0.008264462809917356
6f36868f-5cc1-450c-82fa-6b9829ce0cfe,UCLA035,66,6,11.0,0.049586776859504134
6f6d2c8e-28be-49f4-ae4d-06be2d3148c1,ZFM-02370,53,2,26.5,0.01652892561983471
77e6dc6a-66ed-433c-b1a2-778c914f523c,NYU-30,22,2,11.0,0.01652892561983471
78b4fff5-c5ec-44d9-b5f9-d59493063f00,KS091,15,3,5.0,0.024793388429752067
7bee9f09-a238-42cf-b499-f51f765c6ded,DY_011,25,3,8.333333333333334,0.024793388429752067
7f150b7c-c261-46e6-9edb-cc391c9d9f03,PL033,5,2,2.5,0.01652892561983471
81a78eac-9d36-4f90-a73a-7eb3ad7f770b,CSH_ZAD_026,143,9,15.88888888888889,0.0743801652892562
88d24c31-52e4-49cc-9f32-6adbeb9eba87,SWC_043,18,3,6.0,0.024793388429752067
8c33abef-3d3e-4d42-9f27-445e9def08f9,NYU-21,51,4,12.75,0.03305785123966942
8d316998-28c3-4265-b029-e2ca82375b2f,UCLA037,226,6,37.666666666666664,0.049586776859504134
9468fa93-21ae-4984-955c-e8402e280c83,KS043,9,1,9.0,0.008264462809917356
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,ZFM-01576,65,4,16.25,0.03305785123966942
a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,KS023,22,1,22.0,0.008264462809917356
a405053a-eb13-4aa4-850c-5a337e5dc7fd,NYU-48,7,2,3.5,0.01652892561983471
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,KS023,13,4,3.25,0.03305785123966942
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,KS046,42,2,21.0,0.01652892561983471
ae8787b1-4229-4d56-b0c2-566b61a25b77,NR_0027,65,8,8.125,0.06611570247933884
b69b86be-af7d-4ecf-8cbf-0cd356afa1bd,CSH_ZAD_026,17,3,5.666666666666667,0.024793388429752067
bd456d8f-d36e-434a-8051-ff3997253802,DY_014,57,6,9.5,0.049586776859504134
cb2ad999-a6cb-42ff-bf71-1774c57e5308,ZM_2245,36,5,7.2,0.04132231404958678
cef05f87-161b-4031-932c-6f47daf89698,PL033,15,1,15.0,0.008264462809917356
cf43dbb1-6992-40ec-a5f9-e8e838d0f643,DY_011,20,5,4.0,0.04132231404958678
d2918f52-8280-43c0-924b-029b2317e62c,CSHL049,58,6,9.666666666666666,0.049586776859504134
d2f5a130-b981-4546-8858-c94ae1da75ff,CSHL059,100,6,16.666666666666668,0.049586776859504134
d33baf74-263c-4b37-a0d0-b79dcb80a764,ZM_2240,72,4,18.0,0.03305785123966942
d839491f-55d8-4cbe-a298-7839208ba12b,CSHL049,31,6,5.166666666666667,0.049586776859504134
dfbe628d-365b-461c-a07f-8b9911ba83aa,KS046,48,2,24.0,0.01652892561983471
e56541a5-a6d5-4750-b1fe-f6b5257bfe7c,CSH_ZAD_026,33,3,11.0,0.024793388429752067
ebc9392c-1ecb-4b4b-a545-4e3d70d23611,UCLA034,38,4,9.5,0.03305785123966942
ebe2efe3-e8a1-451a-8947-76ef42427cc9,NYU-21,16,4,4.0,0.03305785123966942
ee8b36de-779f-4dea-901f-e0141c95722b,DY_014,71,5,14.2,0.04132231404958678
f3ce3197-d534-4618-bf81-b687555d1883,SWC_043,26,4,6.5,0.03305785123966942
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,NYU-37,54,5,10.8,0.04132231404958678
fb70ebf7-8175-42b0-9b7a-7c6e8612226e,CSHL058,66,4,16.5,0.03305785123966942
ff4187b5-4176-4e39-8894-53a24b7cf36b,ZM_2241,69,4,17.25,0.03305785123966942
