time_from_stim_s,dlc_state,lp_state
0.012702,still,still
0.029333,still,still
0.045998,still,still
0.062630,still,still
0.079262,still,still
0.095927,still,still
0.112558,still,still
0.129190,still,still
0.145822,still,still
0.162487,still,still
0.179118,still,still
0.195750,still,still
0.212415,still,still
0.229047,still,still
0.245678,decoupled,still
0.262343,decoupled,still
0.278975,decoupled,still
0.295607,decoupled,decoupled
0.312238,decoupled,decoupled
0.328903,decoupled,decoupled
0.345535,decoupled,decoupled
0.362167,decoupled,decoupled
0.378832,decoupled,decoupled
0.395463,decoupled,decoupled
0.412095,decoupled,decoupled
0.428760,still,still
0.445392,still,still
0.462023,still,still
0.478655,still,still
0.495320,still,still
0.511952,still,coupled
0.528583,still,coupled
0.545248,coupled,coupled
0.561880,coupled,coupled
0.578512,coupled,coupled
0.595177,coupled,coupled
0.611808,coupled,coupled
0.628440,coupled,coupled
0.645105,still,coupled
0.661737,still,coupled
0.678368,still,still
0.695000,still,still
0.711665,still,still
0.728297,still,still
0.744928,still,still
0.761593,still,still
0.778225,still,still
0.794857,still,still
0.811522,still,still
0.828153,still,still
0.844785,still,still
0.861417,still,still
0.878082,still,still
0.894713,still,still
0.911345,still,still
0.928010,still,still
0.944642,still,still
0.961274,still,still
0.977939,still,still
0.994570,still,still
1.011202,still,still
1.027867,still,still
1.044499,still,still
1.061130,still,still
1.077762,still,still
1.094427,still,still
1.111059,still,still
1.127690,still,still
1.144355,still,still
1.160987,still,still
1.177619,still,still
1.194284,still,still
1.210915,still,still
1.227547,still,still
1.244179,still,still
1.260844,still,still
1.277475,still,still
1.294107,still,still
1.310772,still,still
1.327404,still,still
1.344035,still,still
1.360700,still,still
1.377332,still,still
1.393964,still,still
1.410595,still,still
1.427260,still,still
1.443892,still,still
1.460524,still,still
1.477189,still,still
1.493820,still,still
1.510452,still,still
1.527117,still,still
1.543749,still,still
1.560380,still,still
1.577045,still,still
1.593677,still,still
1.610309,still,still
1.626940,still,still
1.643605,still,still
1.660237,still,still
1.676869,still,still
1.693534,still,still
1.710165,still,still
1.726797,still,still
1.743462,still,still
1.760094,still,still
1.776725,still,still
1.793357,still,still
1.810022,still,still
1.826654,still,still
1.843285,still,still
1.859950,still,still
1.876582,still,still
1.893214,still,still
1.909879,still,still
1.926510,still,still
1.943142,still,still
1.959807,still,still
1.976439,still,still
1.993070,still,still
2.009702,still,still
2.026367,still,still
2.042999,still,still
2.059630,still,still
2.076295,still,still
2.092927,still,still
2.109559,still,still
2.126224,still,still
2.142855,still,still
2.159487,still,still
2.176119,still,still
2.192784,still,still
2.209415,still,still
2.226047,still,still
2.242712,still,still
2.259344,still,still
2.275975,still,still
2.292640,still,still
2.309272,still,still
2.325904,still,still
2.342535,still,still
2.359200,still,still
2.375832,still,still
2.392464,still,still
2.409129,still,still
2.425760,still,still
2.442392,still,still
2.459057,still,still
2.475689,still,still
2.492320,still,still
2.508985,still,still
2.525617,still,still
2.542249,still,still
2.558880,still,still
2.575545,still,still
2.592177,still,still
2.608809,still,still
2.625474,still,still
2.642105,still,still
2.658737,still,still
2.675402,still,still
2.692034,still,still
2.708665,still,still
2.725297,still,still
2.741962,still,still
2.758594,still,still
2.775225,still,still
2.791890,still,still
2.808522,still,still
2.825154,still,still
2.841819,still,still
2.858450,still,still
2.875082,still,still
2.891747,still,still
2.908379,still,still
2.925010,still,still
2.941642,still,still
2.958307,still,still
2.974939,still,still
2.991570,still,still
3.008235,still,still
3.024867,still,still
3.041499,still,still
3.058164,still,still
3.074795,still,still
3.091427,still,still
3.108059,still,still
3.124724,still,still
3.141355,still,still
3.157987,still,still
3.174652,still,still
3.191284,still,still
3.207915,still,still
3.224580,still,still
3.241212,still,still
3.257844,still,still
3.274475,still,still
3.291140,still,still
3.307772,still,still
3.324404,still,still
3.341069,still,still
3.357701,still,still
3.374332,still,still
3.390997,still,still
3.407629,still,still
3.424261,still,still
3.440926,still,still
3.457557,still,still
3.474189,still,still
3.490821,still,still
3.507486,still,still
3.524117,still,still
3.540749,still,still
3.557414,still,still
3.574046,still,still
3.590677,still,still
3.607342,still,still
3.623974,still,still
3.640606,still,still
3.657237,still,still
3.673902,still,still
3.690534,still,still
3.707166,still,still
3.723831,still,still
3.740462,still,still
3.757094,still,still
3.773759,still,still
3.790391,still,still
3.807022,still,still
3.823687,still,still
3.840319,still,still
3.856951,still,still
3.873582,still,still
3.890247,still,still
3.906879,still,still
3.923511,still,still
3.940176,still,still
3.956807,still,still
3.973439,still,still
3.990104,still,still
4.006736,still,still
4.023367,still,still
4.039999,still,still
4.056664,still,still
4.073296,still,still
4.089927,still,still
4.106592,still,still
4.123224,still,still
4.139856,still,still
4.156521,still,still
4.173152,still,still
4.189784,still,still
4.206416,still,still
4.223081,still,still
4.239712,still,still
4.256344,still,still
4.273009,still,still
4.289641,still,still
4.306272,still,still
4.322937,still,still
4.339569,still,still
4.356201,still,still
4.372866,still,still
4.389497,still,still
4.406129,still,still
4.422761,coupled,coupled
4.439426,coupled,coupled
4.456057,coupled,coupled
4.472689,coupled,coupled
4.489354,coupled,coupled
4.505986,decoupled,decoupled
4.522617,decoupled,decoupled
4.539282,decoupled,decoupled
4.555914,coupled,coupled
4.572546,coupled,coupled
4.589177,coupled,coupled
4.605842,coupled,coupled
4.622474,coupled,coupled
