subject,dataset_mouse_id,lab,n_sessions,n_probes,n_good_units,mouse_regions_with_good_units,n_regions_mouse,n_sessions_raw_lfp,n_sessions_dlc,n_sessions_lightning_pose,n_sessions_dlc_and_lightning_pose,n_sessions_no_pose_keypoints,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-11,sub-NYU-11,angelakilab,2,3,340,"CNU, CTXsp, HPF, Isocortex, OLF, TH",6,2,2,2,2,0,990,640,350,0.646465
NYU-12,sub-NYU-12,angelakilab,4,6,655,"CTXsp, HB, HPF, HY, Isocortex, MB, OLF, TH",8,4,4,4,4,0,2132,1033,1099,0.484522
NYU-21,sub-NYU-21,angelakilab,2,4,368,"CNU, HY, Isocortex, TH",4,2,2,2,2,0,1393,839,554,0.602297
NYU-30,sub-NYU-30,angelakilab,3,4,398,"CNU, CTXsp, Isocortex, OLF",4,3,3,3,3,0,2434,1801,633,0.739934
NYU-37,sub-NYU-37,angelakilab,5,9,1278,"CB, CNU, HB, HPF, HY, Isocortex, MB, TH",8,5,5,5,5,0,2455,1692,763,0.689206
NYU-39,sub-NYU-39,angelakilab,5,10,694,"CNU, CTXsp, HB, HPF, Isocortex, MB, OLF, TH",8,5,5,5,5,0,2698,2048,650,0.759081
NYU-40,sub-NYU-40,angelakilab,4,8,806,"CB, HB, HPF, Isocortex, MB",5,4,4,4,4,0,1959,989,970,0.504849
NYU-45,sub-NYU-45,angelakilab,3,6,701,"CB, HB, HPF, Isocortex, MB, OLF, TH",7,3,3,3,3,0,1415,556,859,0.392933
NYU-46,sub-NYU-46,angelakilab,4,5,225,"CB, CNU, CTXsp, Isocortex, OLF",5,4,4,4,4,0,1849,910,939,0.492158
NYU-47,sub-NYU-47,angelakilab,3,6,480,"CB, CNU, HB, Isocortex, MB, TH",6,3,3,3,3,0,1523,949,574,0.623112
NYU-48,sub-NYU-48,angelakilab,3,6,557,"CB, CNU, HB, HPF, Isocortex, MB, TH",7,3,3,3,3,0,1875,1343,532,0.716267
NYU-65,sub-NYU-65,angelakilab,3,6,715,"CB, HB, HPF, Isocortex, TH",5,3,3,3,3,0,1445,847,598,0.586159
CSHL045,sub-CSHL045,churchlandlab,5,7,731,"CB, CNU, HB, HPF, HY, Isocortex, MB, TH",8,5,5,5,5,0,3950,2681,1269,0.678734
CSHL047,sub-CSHL047,churchlandlab,2,4,304,"CNU, HPF, Isocortex, MB, OLF, TH",6,2,2,2,2,0,1121,663,458,0.591436
CSHL049,sub-CSHL049,churchlandlab,4,6,581,"CNU, CTXsp, HPF, HY, Isocortex, MB, OLF, TH",8,4,4,4,4,0,2880,1911,969,0.663542
CSHL051,sub-CSHL051,churchlandlab,1,2,133,"HPF, Isocortex, MB, TH",4,1,1,1,1,0,510,320,190,0.627451
CSHL052,sub-CSHL052,churchlandlab,5,8,593,"CNU, CTXsp, HPF, HY, Isocortex, MB, OLF, TH",8,5,5,5,5,0,4393,2816,1577,0.64102
CSHL053,sub-CSHL053,churchlandlab,4,5,664,"CB, HB, HPF, Isocortex, MB, TH",6,4,4,4,4,0,2560,1019,1541,0.398047
CSHL054,sub-CSHL054,churchlandlab,1,2,119,"HB, HPF, Isocortex, MB",4,1,1,1,1,0,855,342,513,0.4
CSHL055,sub-CSHL055,churchlandlab,1,2,171,"CNU, CTXsp, HPF, HY, Isocortex, TH",6,1,1,1,1,0,771,531,240,0.688716
CSHL058,sub-CSHL058,churchlandlab,3,6,569,"CNU, HPF, Isocortex, MB, OLF, TH",6,3,3,3,3,0,1676,1232,444,0.735084
CSHL059,sub-CSHL059,churchlandlab,5,9,646,"CNU, CTXsp, HPF, Isocortex, MB, OLF, TH",7,5,5,5,5,0,2994,1788,1206,0.597194
CSHL060,sub-CSHL060,churchlandlab,5,9,1154,"CB, CNU, HB, HPF, HY, Isocortex, MB, OLF",8,5,5,5,5,0,3405,2390,1015,0.701909
MFD_05,sub-MFD_05,churchlandlab_ucla,3,3,481,"CB, HB, HPF, Isocortex, MB",5,3,3,3,3,0,1837,780,1057,0.424605
MFD_06,sub-MFD_06,churchlandlab_ucla,4,4,543,"HB, HPF, MB",3,4,4,4,4,0,2954,2088,866,0.706838
MFD_07,sub-MFD_07,churchlandlab_ucla,3,3,560,"CB, HB, HPF, Isocortex, MB, TH",6,3,3,3,3,0,2361,1677,684,0.710292
MFD_08,sub-MFD_08,churchlandlab_ucla,2,2,436,"CB, HB, HPF, Isocortex, MB",5,2,2,2,2,0,1529,473,1056,0.309353
MFD_09,sub-MFD_09,churchlandlab_ucla,1,1,291,"HPF, Isocortex, TH",3,1,1,1,1,0,569,403,166,0.70826
UCLA005,sub-UCLA005,churchlandlab_ucla,1,1,53,"HPF, MB",2,1,1,1,1,0,772,577,195,0.747409
UCLA006,sub-UCLA006,churchlandlab_ucla,1,1,314,"HPF, Isocortex, TH",3,1,1,1,1,0,748,415,333,0.554813
UCLA011,sub-UCLA011,churchlandlab_ucla,1,1,62,"HPF, HY, Isocortex, TH",4,1,1,1,1,0,764,573,191,0.75
UCLA012,sub-UCLA012,churchlandlab_ucla,1,1,98,TH,1,1,1,1,1,0,719,579,140,0.805285
UCLA014,sub-UCLA014,churchlandlab_ucla,1,1,99,"HPF, MB",2,1,1,1,1,0,581,372,209,0.640275
UCLA015,sub-UCLA015,churchlandlab_ucla,1,1,133,"HPF, Isocortex, MB, TH",4,1,1,1,1,0,610,472,138,0.77377
UCLA017,sub-UCLA017,churchlandlab_ucla,1,1,257,"HPF, Isocortex, MB",3,1,1,1,1,0,665,456,209,0.685714
UCLA030,sub-UCLA030,churchlandlab_ucla,1,1,343,Isocortex,1,1,1,1,1,0,505,356,149,0.70495
UCLA033,sub-UCLA033,churchlandlab_ucla,3,4,584,"CB, HB, HPF, Isocortex, MB",5,3,3,3,3,0,2143,1249,894,0.582828
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,"CNU, HB, HPF, HY, Isocortex, MB, OLF, TH",8,4,4,4,4,0,1852,1249,603,0.674406
UCLA035,sub-UCLA035,churchlandlab_ucla,2,4,452,"CNU, Isocortex, OLF",3,2,2,2,2,0,1750,951,799,0.543429
UCLA036,sub-UCLA036,churchlandlab_ucla,1,2,304,"HPF, Isocortex, MB, TH",4,1,1,1,1,0,476,293,183,0.615546
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805,"HPF, HY, Isocortex, MB, TH",5,4,4,4,4,0,2194,1420,774,0.64722
UCLA044,sub-UCLA044,churchlandlab_ucla,2,2,201,"CB, HPF, Isocortex, MB",4,2,2,2,2,0,1261,578,683,0.458366
UCLA048,sub-UCLA048,churchlandlab_ucla,1,2,162,"HPF, Isocortex, MB, TH",4,1,1,1,1,0,458,272,186,0.593886
UCLA049,sub-UCLA049,churchlandlab_ucla,2,4,375,"CNU, HPF, Isocortex, MB, TH",5,2,2,2,2,0,910,535,375,0.587912
UCLA052,sub-UCLA052,churchlandlab_ucla,1,1,93,"HPF, Isocortex, MB",3,1,1,1,1,0,436,269,167,0.616972
KS014,sub-KS014,cortexlab,3,5,538,"HPF, Isocortex, MB",3,3,3,3,3,0,1876,1306,570,0.696162
KS016,sub-KS016,cortexlab,3,6,349,"HB, HPF, HY, Isocortex, MB, TH",6,3,3,3,3,0,1742,1242,500,0.712974
KS022,sub-KS022,cortexlab,1,2,89,"HB, HPF, HY, MB, TH",5,1,1,1,1,0,826,494,332,0.598063
KS023,sub-KS023,cortexlab,4,8,823,"CNU, CTXsp, HPF, HY, Isocortex, MB, OLF, TH",8,4,4,4,4,0,2809,2105,704,0.749377
KS042,sub-KS042,cortexlab,2,4,362,"CNU, CTXsp, Isocortex, MB, OLF",5,2,2,2,2,0,1149,775,374,0.6745
KS043,sub-KS043,cortexlab,2,4,257,"CB, CNU, HB, HPF, Isocortex, MB, TH",7,2,2,2,2,0,1095,817,278,0.746119
KS044,sub-KS044,cortexlab,2,4,340,"CNU, CTXsp, HB, HPF, HY, Isocortex, MB, OLF, TH",9,2,2,2,2,0,1257,806,451,0.641209
KS045,sub-KS045,cortexlab,1,2,171,"CB, HB, MB",3,1,0,0,0,1,404,243,161,0.601485
KS046,sub-KS046,cortexlab,4,8,814,"CNU, CTXsp, HPF, Isocortex, MB, OLF",6,4,4,4,4,0,2887,2136,751,0.739868
KS051,sub-KS051,cortexlab,3,4,224,"CNU, HPF, Isocortex, TH",4,3,2,2,2,1,1298,880,418,0.677966
KS052,sub-KS052,cortexlab,1,2,91,"Isocortex, OLF",2,1,0,0,0,1,691,524,167,0.758321
