subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-11,sub-NYU-11,angelakilab,2020-02-18,1,6713a4a7-faed-4df2-acab-ee4e63326f8d,1,76,probe00,"TH, HPF",TH:69; HPF:3,2,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,565,395,170,0.699115
NYU-11,sub-NYU-11,angelakilab,2020-02-21,1,56956777-dca5-468c-87cb-78150432cc57,2,264,"probe00, probe01","TH, CNU, CTXsp, HPF, OLF, Isocortex",TH:74; CNU:67; CTXsp:64; HPF:13; OLF:8; Isocortex:7,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,425,245,180,0.576471
NYU-12,sub-NYU-12,angelakilab,2020-01-20,1,4364a246-f8d7-4ce7-ba23-a098104b96e4,1,163,probe01,"TH, HY",TH:157; HY:6,2,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,557,161,396,0.289048
NYU-12,sub-NYU-12,angelakilab,2020-01-21,1,b182b754-3c3e-4942-8144-6ee790926b58,1,234,probe01,"MB, HB",MB:114; HB:99,2,True,probe01,1,True,right,True,right,DLC + Lightning Pose,444,238,206,0.536036
NYU-12,sub-NYU-12,angelakilab,2020-01-22,1,a8a8af78-16de-4841-ab07-fde4b5281a03,2,126,"probe00, probe01","HPF, TH, Isocortex",HPF:77; TH:37; Isocortex:10,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,550,341,209,0.62
NYU-12,sub-NYU-12,angelakilab,2020-01-23,1,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,2,132,"probe00, probe01","OLF, CTXsp, HPF, Isocortex, MB",OLF:42; CTXsp:28; HPF:28; Isocortex:12; MB:11,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,581,293,288,0.504303
NYU-21,sub-NYU-21,angelakilab,2020-08-13,2,8c33abef-3d3e-4d42-9f27-445e9def08f9,2,263,"probe00, probe01","TH, CNU, Isocortex",TH:71; CNU:59; Isocortex:51,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,721,492,229,0.682386
NYU-21,sub-NYU-21,angelakilab,2020-08-19,1,ebe2efe3-e8a1-451a-8947-76ef42427cc9,2,105,"probe00, probe01","TH, CNU, Isocortex, HY",TH:45; CNU:34; Isocortex:16; HY:10,4,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,672,347,325,0.516369
NYU-30,sub-NYU-30,angelakilab,2020-10-20,1,77e6dc6a-66ed-433c-b1a2-778c914f523c,1,95,probe00,"Isocortex, OLF, CTXsp",Isocortex:40; OLF:29; CTXsp:22,3,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,784,594,190,0.757653
NYU-30,sub-NYU-30,angelakilab,2020-10-21,1,5569f363-0934-464e-9a5b-77c8e67791a1,1,105,probe00,"Isocortex, OLF",Isocortex:53; OLF:52,2,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,717,513,204,0.715481
NYU-30,sub-NYU-30,angelakilab,2020-10-22,1,5ec72172-3901-4771-8777-6e9490ca51fc,2,198,"probe00, probe01","Isocortex, OLF, CNU",Isocortex:128; OLF:55; CNU:14,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,933,694,239,0.743837
NYU-37,sub-NYU-37,angelakilab,2021-01-25,1,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,2,260,"probe00, probe01","TH, CNU, Isocortex, HPF, MB",TH:111; CNU:58; Isocortex:51; HPF:22; MB:16,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,414,321,93,0.775362
NYU-37,sub-NYU-37,angelakilab,2021-01-26,1,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,2,288,"probe00, probe01","CB, Isocortex, CNU",CB:191; Isocortex:54; CNU:35,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,401,228,173,0.568579
NYU-37,sub-NYU-37,angelakilab,2021-01-27,1,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,2,230,"probe00, probe01","CB, TH, HY",CB:179; TH:23; HY:2,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,443,260,183,0.586907
NYU-37,sub-NYU-37,angelakilab,2021-01-30,1,aec5d3cc-4bb2-4349-80a9-0395b76f04e2,2,439,"probe00, probe01","CB, HB",CB:189; HB:137,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,649,505,144,0.77812
