protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,paw_speed,a1,0,rep0,0.221267082899212,591.373291015625,345.0832214355469,0.4727701610110723,2608,-2.2947537844248496,0.2462872607872545,113
cv,trial_repeat,attn,paw_speed,a1,0,rep0,0.226917519643801,589.223876953125,336.2982177734375,0.4802748262525824,2608,-1.659218475683523,0.236148698402092,113
cv,trial_repeat,mean,paw_speed,a1,1,rep1,0.21501587823896,658.4951171875,411.0044860839844,0.4651855576344743,1558,-27.32464388702126,0.1974053811442335,69
cv,trial_repeat,attn,paw_speed,a1,1,rep1,0.2159156289023251,658.1176147460938,399.8157043457031,0.4668354729300438,1558,-24.104820785615217,0.1557642312815277,69
cv,trial_repeat,mean,paw_speed,a1,2,rep2,0.2747062188885829,542.9819946289062,333.17633056640625,0.5308328971861235,872,0.3464919299380801,0.5313789268228739,40
cv,trial_repeat,attn,paw_speed,a1,2,rep2,0.2927395023185609,536.1893310546875,325.2202453613281,0.5437221148823828,872,0.3762400742851718,0.5089316108996971,40
cv,trial_repeat,mean,paw_speed,a1,3,rep3,0.1555149699440291,684.8588256835938,405.24212646484375,0.3953878399348002,1899,-1.407992579854781,0.1437768261080216,74
cv,trial_repeat,attn,paw_speed,a1,3,rep3,0.1576675737900064,683.9854125976562,392.9556884765625,0.4036736663429444,1899,-1.1388012388079467,0.1238560817314821,74
cv,trial_repeat,mean,paw_speed,a1,4,rep4,0.2065443162374937,543.81494140625,347.2479248046875,0.4610222944409577,1080,0.0428298146878465,0.3758775209312051,46
cv,trial_repeat,attn,paw_speed,a1,4,rep4,0.2124983021104994,541.770751953125,342.7047119140625,0.4623280093366094,1080,0.1193574055764355,0.2731105370902345,46
cv,trial_extrapolation,mean,paw_speed,a1,0,3063955,-0.0625373726748124,409.2743835449219,300.6856994628906,0.1144408259398892,490,-0.1578318542921165,-0.0803729621504031,8
cv,trial_extrapolation,attn,paw_speed,a1,0,3063955,-0.2245966401005603,439.378662109375,345.1464233398437,0.1843812958979082,490,-0.2788560436345308,-0.0653937103798779,8
cv,trial_extrapolation,mean,paw_speed,a1,1,0f77ca5d,0.0973781041083229,671.875732421875,428.539306640625,0.4332082402169711,441,-6.635663596682704,-0.1493340159330621,22
cv,trial_extrapolation,attn,paw_speed,a1,1,0f77ca5d,0.1654356447684015,646.0496215820312,377.79595947265625,0.4407140267870026,441,-4.9100638267080186,-0.0352323371386197,22
cv,trial_extrapolation,mean,paw_speed,a1,2,113c5b6c,-0.0004308437549651,800.999755859375,496.347900390625,0.2256663527028615,222,-0.1217820835291154,-0.0535899704127689,7
cv,trial_extrapolation,attn,paw_speed,a1,2,113c5b6c,0.2811226578040944,678.9945068359375,391.8947143554688,0.5477724087370169,222,0.3385907371602271,0.4274072456632173,7
cv,trial_extrapolation,mean,paw_speed,a1,3,1e45d992,0.0251443944315351,448.5177917480469,130.05543518066406,0.3666658489467424,278,-2.985849246863553,-0.0712053947109786,10
cv,trial_extrapolation,attn,paw_speed,a1,3,1e45d992,0.0156762422176506,450.6906127929688,134.21328735351562,0.3391639489466205,278,-3.381952421602558,-0.0894313543059971,10
cv,trial_extrapolation,mean,paw_speed,a1,4,259927fd,0.4030726969580681,428.24993896484375,262.9227600097656,0.6447043092414557,99,0.4131981843086654,0.3771254982976296,6
cv,trial_extrapolation,attn,paw_speed,a1,4,259927fd,0.4145896409603142,424.0985412597656,258.5605163574219,0.6448325518118536,99,0.4379233997517326,0.3972716226556466,6
cv,trial_extrapolation,mean,paw_speed,a1,5,2c44a360,-0.7313378640880479,747.8364868164062,623.1905517578125,0.3594881182415917,318,-1.0245515078360123,0.0035360940275057,11
cv,trial_extrapolation,attn,paw_speed,a1,5,2c44a360,-0.6298091886067463,725.5780029296875,598.37744140625,0.3693072361478678,318,-0.7927321746713859,0.1492801682307767,11
cv,trial_extrapolation,mean,paw_speed,a1,6,2e6e179c,0.130437875728208,447.1707458496094,361.6573181152344,0.5294569532197515,441,-0.2692782419993725,0.079936421438177,14
cv,trial_extrapolation,attn,paw_speed,a1,6,2e6e179c,0.0946973334562317,456.2679443359375,372.5728454589844,0.5211268419516524,441,-0.3264075225504012,0.044873194142492,14
cv,trial_extrapolation,mean,paw_speed,a1,7,360eac0c,-0.0471167105802534,525.3035278320312,393.5541687011719,0.5273913842921563,72,-0.0516980995441087,-0.0379897334049039,5
cv,trial_extrapolation,attn,paw_speed,a1,7,360eac0c,-0.0012920992230527,513.6805419921875,396.5281066894531,0.4808329085844529,72,-0.0128175398007334,-0.0012148180896573,5
cv,trial_extrapolation,mean,paw_speed,a1,8,36280321,-4.305110451857067,929.5607299804688,842.8374633789062,0.1898238310757714,214,-5.790047317094913,-1.3119711535093117,6
cv,trial_extrapolation,attn,paw_speed,a1,8,36280321,-4.248478073707118,924.5858154296876,835.6061401367188,0.1806904201983005,214,-5.691558204698712,-1.1322263376795552,6
cv,trial_extrapolation,mean,paw_speed,a1,9,4aa1d525,0.1818034251664689,773.7198486328125,462.8771057128906,0.4314327572158524,244,-0.3494223819828779,-0.1798166643907514,12
cv,trial_extrapolation,attn,paw_speed,a1,9,4aa1d525,0.1932196756720662,768.3030395507812,496.20062255859375,0.4687819887532006,244,-0.4450258478170513,-0.2536485203316801,12
cv,trial_extrapolation,mean,paw_speed,a1,10,5455a21c,0.3029842757911017,416.09130859375,312.6512451171875,0.5569761402770323,61,0.243144573782189,0.2629474172900888,4
cv,trial_extrapolation,attn,paw_speed,a1,10,5455a21c,0.3137211513722739,412.8741149902344,315.8744201660156,0.5809586015468944,61,0.2367203241514802,0.2562684782211477,4
cv,trial_extrapolation,mean,paw_speed,a1,11,5569f363,0.1838523476682656,649.9525756835938,482.23345947265625,0.4931942534601516,144,0.0626762525854332,0.2173422344681963,7
cv,trial_extrapolation,attn,paw_speed,a1,11,5569f363,0.1671399341240127,656.573486328125,481.4995727539063,0.4729315734620247,144,0.0341362762606576,0.1139385587296806,7
cv,trial_extrapolation,mean,paw_speed,a1,12,57b5ae8f,-0.652512191935291,675.9635620117188,579.5933837890625,0.3387699940388807,400,-1.9598694121457412,0.5367820936871186,10
cv,trial_extrapolation,attn,paw_speed,a1,12,57b5ae8f,0.0975978979395055,499.517822265625,418.4317932128906,0.5822629475058773,400,-0.4466445267823167,0.6450359117002442,10
cv,trial_extrapolation,mean,paw_speed,a1,13,5adab0b7,-0.2733503269714916,484.6868591308594,413.0255432128906,0.2323913486036906,406,-0.7252986046781796,-0.0720748822385876,10
cv,trial_extrapolation,attn,paw_speed,a1,13,5adab0b7,-0.298423245308451,489.43548583984375,418.6751403808594,0.2410571571900367,406,-0.7562837723343032,-0.1192225234373063,10
cv,trial_extrapolation,mean,paw_speed,a1,14,5ec72172,-0.0089777330449261,492.3353271484375,384.31591796875,-0.2023969713283959,403,-0.2832982000770288,-0.1003706058495275,15
cv,trial_extrapolation,attn,paw_speed,a1,14,5ec72172,0.0789760722977881,470.3873901367188,367.9624328613281,0.3001707441086053,403,-0.3713888452109,-0.0555341024365898,15
cv,trial_extrapolation,mean,paw_speed,a1,15,626126d5,0.4357060427274577,288.7572631835937,188.85243225097656,0.674857791260479,574,0.4619622942975094,0.5575303547091662,25
cv,trial_extrapolation,attn,paw_speed,a1,15,626126d5,0.3097167801612558,319.3698425292969,222.21714782714844,0.6178371110521645,574,0.2668183672490349,0.3777810835143155,25
cv,trial_extrapolation,mean,paw_speed,a1,16,62902992,-0.0069588552848398,591.3694458007812,464.6253662109375,0.390016133165744,94,-0.0868629104423958,-0.0259352010748794,5
cv,trial_extrapolation,attn,paw_speed,a1,16,62902992,-0.0134215012657608,593.2640991210938,473.7586059570313,0.3828570376967853,94,-0.1055089593197498,-0.0112343751497057,5
cv,trial_extrapolation,mean,paw_speed,a1,17,6f36868f,-0.0389859782558899,569.1408081054688,454.1929016113281,0.1904539385908349,158,-0.7621242090464124,-0.0724565547491378,5
cv,trial_extrapolation,attn,paw_speed,a1,17,6f36868f,-0.0688598030390355,577.2650146484375,460.2921752929688,0.2124982635283291,158,-1.142672546779874,0.3046913823239582,5
cv,trial_extrapolation,mean,paw_speed,a1,18,6f6d2c8e,0.1045951354392129,466.5519714355469,359.8164367675781,0.5743001896468785,190,-0.2706702410579026,0.4790186717527912,9
cv,trial_extrapolation,attn,paw_speed,a1,18,6f6d2c8e,0.1591363975836752,452.1193237304688,340.4219665527344,0.572046763189525,190,-0.1802567594274997,0.5005087612344692,9
cv,trial_extrapolation,mean,paw_speed,a1,19,77e6dc6a,0.032890164887092,816.7318115234375,605.8024291992188,0.3821913761680328,169,-0.3469596463488299,-0.1817693544363812,7
cv,trial_extrapolation,attn,paw_speed,a1,19,77e6dc6a,0.0818068024058891,795.8085327148438,586.571044921875,0.3993292690714551,169,-0.2174254963875843,-0.1090004210954982,7
cv,trial_extrapolation,mean,paw_speed,a1,20,78b4fff5,0.1062312048515264,677.5165405273438,459.5769653320313,0.3827372886142471,761,-0.0927511471904077,0.2198769025384972,26
cv,trial_extrapolation,attn,paw_speed,a1,20,78b4fff5,0.0991529128978734,680.194091796875,468.3299865722656,0.384327688853685,761,-0.1052560413163441,0.201702746175991,26
cv,trial_extrapolation,mean,paw_speed,a1,21,7bee9f09,-2.47898023724998,607.4500732421875,580.8556518554688,0.4976157993020578,173,-2.2572714304577626,-2.202969741997693,3
cv,trial_extrapolation,attn,paw_speed,a1,21,7bee9f09,-2.731297100873125,629.0925903320312,602.7175903320312,0.1809330883861275,173,-2.486359172189463,-2.4353537853799065,3
cv,trial_extrapolation,mean,paw_speed,a1,22,7f150b7c,-0.0293870527321915,583.4031372070312,490.4342346191406,0.603755873791277,85,-0.1658351673225853,-0.0273337826273684,4
cv,trial_extrapolation,attn,paw_speed,a1,22,7f150b7c,0.0506819168841811,560.2544555664062,494.23870849609375,0.4567128091417245,85,-0.1433553988654691,0.1526761114007492,4
cv,trial_extrapolation,mean,paw_speed,a1,23,81a78eac,-0.1703384055015548,326.189453125,245.10646057128903,0.3363795228533131,724,-0.8507652966357336,0.5363145118181155,28
cv,trial_extrapolation,attn,paw_speed,a1,23,81a78eac,-0.1018423121860214,316.5001525878906,237.57342529296875,0.4958050016162199,724,-0.701734075926317,0.6224046227791744,28
cv,trial_extrapolation,mean,paw_speed,a1,24,88d24c31,-1.279694185004629,919.7422485351562,772.4008178710938,0.1488709106932119,395,-1.772473608030551,0.4084721910933836,11
cv,trial_extrapolation,attn,paw_speed,a1,24,88d24c31,-0.6947687337906985,793.01806640625,652.3902587890625,0.2979284640372197,395,-1.0495497075337068,0.5149909843136979,11
cv,trial_extrapolation,mean,paw_speed,a1,25,8c33abef,0.3407549729255988,355.5193176269531,280.9986267089844,0.7124466217416316,476,0.3666508483047666,0.4966204567772605,19
cv,trial_extrapolation,attn,paw_speed,a1,25,8c33abef,0.5131459335827866,305.5196533203125,189.4326019287109,0.7213754697374353,476,0.5601614146567757,0.582121923423036,19
cv,trial_extrapolation,mean,paw_speed,a1,26,8d316998,0.3487850136347803,305.7520446777344,237.6147918701172,0.6492995408248623,136,0.3144315855824726,0.4134211096058308,6
cv,trial_extrapolation,attn,paw_speed,a1,26,8d316998,0.3446671450707865,306.7171936035156,234.5537109375,0.6270096039375626,136,0.3339799518215099,0.3655755165912137,6
cv,trial_extrapolation,mean,paw_speed,a1,27,9468fa93,0.3125556221681634,402.6181945800781,282.9893493652344,0.6044854328633664,231,0.2433919317493808,0.4519056952601956,11
cv,trial_extrapolation,attn,paw_speed,a1,27,9468fa93,0.2816289576176799,411.5749816894531,289.8236389160156,0.5974437576073759,231,0.1807246634425702,0.4914335046497869,11
cv,trial_extrapolation,mean,paw_speed,a1,28,a4000c2f,-0.232942193096338,524.21826171875,405.8912963867188,0.2235479097719432,189,-0.7817500772212285,0.2259991518073909,7
cv,trial_extrapolation,attn,paw_speed,a1,28,a4000c2f,-0.2669394786339638,531.396484375,411.9546813964844,0.2166403879939166,189,-0.8158586887929358,0.1806621032872166,7
cv,trial_extrapolation,mean,paw_speed,a1,29,a405053a,0.0056394668400744,765.9966430664062,595.2981567382812,0.4133996921942052,940,-12.879490952941277,-0.2521142941228764,35
cv,trial_extrapolation,attn,paw_speed,a1,29,a405053a,0.0139569247119534,762.7863159179688,591.6680908203125,0.4035324599861982,940,-12.49183815033028,-0.2153324473539397,35
