task,pool,target,ablation,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,paw_speed,none,0.4194578652295371,390.8787536621094,250.6609039306641,0.657776664718717,1229,0.2187281315230489,0.4149942758245473,47
trial_holdout,attn,paw_speed,none,0.422490910321681,389.8563537597656,249.8585205078125,0.6566970760685326,1229,0.2656490367682136,0.3722554175727542,47
session_holdout,mean,paw_speed,none,-0.6274958508731638,506.1827087402344,382.926513671875,0.5662133509062829,4695,-4.882181986350596,-1.440180765538413,237
session_holdout,attn,paw_speed,none,-0.5620630247340292,495.9029235839844,348.9853515625,0.5477151822095163,4695,-4.198759364655943,-1.3179550876859616,237
mouse_holdout,mean,paw_speed,none,0.2666857918936738,498.5060119628906,327.024658203125,0.5345974731763113,8433,-11.04542564854972,0.3441958680494723,371
mouse_holdout,attn,paw_speed,none,0.2601930468785101,500.7080078125,323.2470092773437,0.5177998599386845,8433,-9.199912513698898,0.3324258767146506,371
trial_holdout,mean,paw_speed,a1,0.3962779880434697,398.6058654785156,254.7927398681641,0.6320830582535967,1229,0.1785463931021872,0.3281374691061044,47
trial_holdout,attn,paw_speed,a1,0.3669069819326199,408.1867980957031,258.3039245605469,0.6095260019858884,1229,0.1584109917950229,0.3182034827034985,47
session_holdout,mean,paw_speed,a1,0.2693669363161188,339.154052734375,232.061767578125,0.6533334116813483,4695,-0.8082100128689925,0.2026642197568641,237
session_holdout,attn,paw_speed,a1,0.2012175776093377,354.6186828613281,238.2400665283203,0.6320888619905163,4695,-0.9630673705826854,0.143134737092499,237
mouse_holdout,mean,paw_speed,a1,0.2625106170046483,499.9231262207031,316.3562927246094,0.5124842898426039,8433,-8.964773696099188,0.3180393594355616,371
mouse_holdout,attn,paw_speed,a1,0.2408986712730161,507.19525146484375,316.1470642089844,0.4960601209668628,8433,-9.342000276129989,0.2873304870662945,371
