protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,paw_vx,none,0,rep0,0.0602953186032626,713.4286499023438,420.6759033203125,0.2461013229114813,2608,-0.994998586047086,-0.0650045559278402,113
cv,trial_repeat,attn,paw_vx,none,0,rep0,0.0411613308590945,720.6553955078125,428.0252990722656,0.2209819131494786,2608,-1.5594843405223084,-0.1224761512778145,113
cv,trial_repeat,mean,paw_vx,none,1,rep1,0.0777828785637498,761.6271362304688,443.8738098144531,0.2880558286411903,1558,-6.624243626125221,-0.0485257498314906,69
cv,trial_repeat,attn,paw_vx,none,1,rep1,0.1101354510806532,748.1484375,425.6598205566406,0.338302946833893,1558,-7.358817421566132,-0.0444989140142448,69
cv,trial_repeat,mean,paw_vx,none,2,rep2,0.090821887111817,591.7808837890625,335.6369323730469,0.3266008096245562,872,-0.008485195650349,-0.0312246423252107,40
cv,trial_repeat,attn,paw_vx,none,2,rep2,0.0740656705800085,597.209228515625,331.6142883300781,0.3408109223169954,872,-0.0204774895042004,-0.01267189541029,40
cv,trial_repeat,mean,paw_vx,none,3,rep3,-0.0103226876457043,753.9645385742188,400.367919921875,0.0289334122761391,1899,-0.6719077286697336,-0.1207332649470517,74
cv,trial_repeat,attn,paw_vx,none,3,rep3,-0.0099765345670124,753.8353881835938,404.578857421875,0.0533262932769389,1899,-0.6764353317418828,-0.0950645122215637,74
cv,trial_repeat,mean,paw_vx,none,4,rep4,0.0214494342561264,609.3733520507812,338.14617919921875,0.1849931076885967,1080,-0.6723043118132077,-0.3290136358487638,46
cv,trial_repeat,attn,paw_vx,none,4,rep4,0.0415108376426045,603.0946044921875,339.7768249511719,0.2373606662372324,1080,-0.6885410702223551,-0.3313756342038328,46
cv,trial_extrapolation,mean,paw_vx,none,0,3063955,-0.0005588577455861,368.828369140625,137.6850128173828,-0.000115203147723,490,-0.1838361568653932,-0.1740695771946055,8
cv,trial_extrapolation,attn,paw_vx,none,0,3063955,-0.0074890031735874,370.10345458984375,149.38002014160156,-0.0008588749674433,490,-0.1946539933559888,-0.0796328762776921,8
cv,trial_extrapolation,mean,paw_vx,none,1,0f77ca5d,0.0005131154028663,730.43212890625,373.0779418945313,0.0332088953179162,441,-0.3477477560973229,-0.1595806245186942,22
cv,trial_extrapolation,attn,paw_vx,none,1,0f77ca5d,0.0003556874282358,730.4896240234375,367.7171936035156,0.0321271390459068,441,-0.3184800154935869,-0.1268634758672981,22
cv,trial_extrapolation,mean,paw_vx,none,2,113c5b6c,0.0076674608768879,727.2723999023438,342.4570617675781,0.117553311321804,222,-0.0662176140407494,-0.0038459975930513,7
cv,trial_extrapolation,attn,paw_vx,none,2,113c5b6c,0.0032690061882673,728.8823852539062,339.0906677246094,0.1032403586677549,222,-0.0647836315105474,-0.01307042292277,7
cv,trial_extrapolation,mean,paw_vx,none,3,1e45d992,-0.0047933982218009,353.1767883300781,104.32942962646484,-0.026911427009828,278,-1.0841736174314085,-0.4193580669127905,10
cv,trial_extrapolation,attn,paw_vx,none,3,1e45d992,-0.0064128616437093,353.4612731933594,103.10233306884766,-0.0465147726144907,278,-1.0259726348984304,-0.4062592835164089,10
cv,trial_extrapolation,mean,paw_vx,none,4,259927fd,0.0671607822796411,606.2467651367188,376.4565124511719,0.3612709635872127,99,-0.0685359734699334,-0.0459334327953763,6
cv,trial_extrapolation,attn,paw_vx,none,4,259927fd,0.0725196934359663,604.5028686523438,369.3710021972656,0.3760532958243552,99,-0.0616394596573087,-0.0425149693606353,6
cv,trial_extrapolation,mean,paw_vx,none,5,2c44a360,-0.0345162063034711,542.3263549804688,251.3207244873047,0.0783498284094783,318,-0.3335735455737322,-0.3586531780781237,11
cv,trial_extrapolation,attn,paw_vx,none,5,2c44a360,-0.0303544838802889,541.2344360351562,254.9088592529297,-0.0391742789849892,318,-0.3245960493642101,-0.3409098264034922,11
cv,trial_extrapolation,mean,paw_vx,none,6,2e6e179c,-0.2045646733680537,544.009521484375,437.4245910644531,0.0309218460967777,441,-0.5406988521898252,-0.2738147872760383,14
