protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,session_loso,mean,paw_vx,a1,28,9e9c6fc0,0.0530665618887389,968.0261840820312,591.6771240234375,0.4825123593727166,49,-0.7232229833685475,-0.7232229833685475,2
cv,session_loso,attn,paw_vx,a1,28,9e9c6fc0,0.0160119731350346,986.7843627929688,599.9443969726562,0.2677086930901369,49,-0.7485044677547985,-0.7485044677547985,2
cv,session_loso,mean,paw_vx,a1,29,a4000c2f,-0.0211088571034325,536.930419921875,285.3291320800781,0.0728231045303251,2053,-0.1618882068006301,-0.0939085721523484,68
cv,session_loso,attn,paw_vx,a1,29,a4000c2f,-0.0177489914108206,536.0463256835938,280.94879150390625,0.0420399931822259,2053,-0.15755680168627,-0.0840425867896167,68
cv,session_loso,mean,paw_vx,a1,30,a405053a,-0.0091117444984647,1034.76904296875,565.4299926757812,0.1803223798101021,7221,-2.2878701899146567,-0.0325320417055827,347
cv,session_loso,attn,paw_vx,a1,30,a405053a,-0.0056166537039781,1032.9754638671875,569.7063598632812,0.1475057592275067,7221,-3.739684007949444,-0.039862949669831,347
cv,session_loso,mean,paw_vx,a1,31,a92c4b1d,-0.060123775348635,691.37841796875,361.2151489257813,-0.2129054347095076,188,-0.341966805109052,-0.2410932425280437,8
cv,session_loso,attn,paw_vx,a1,31,a92c4b1d,-0.0463080467594507,686.8585815429688,350.9151916503906,-0.1272918237089871,188,-0.3289526812447649,-0.1869190510767745,8
cv,session_loso,mean,paw_vx,a1,32,aa3432cd,-0.0160387037019122,526.0166625976562,302.8178405761719,0.0771623891035416,2561,-0.2144100203471649,-0.1355327633753936,126
cv,session_loso,attn,paw_vx,a1,32,aa3432cd,-0.0540802875049797,535.7734985351562,297.9136962890625,0.0723523343203623,2561,-0.2498863240343228,-0.0900888805713936,126
cv,session_loso,mean,paw_vx,a1,33,ae8787b1,0.0309558843316067,820.14208984375,417.6676330566406,0.2353777324161404,3879,-1.3645333393623265,-0.071352919222539,198
cv,session_loso,attn,paw_vx,a1,33,ae8787b1,0.016354438666732,826.2977905273438,421.6643981933594,0.1791551040978991,3879,-0.9641885057938536,-0.075148850907204,198
cv,session_loso,mean,paw_vx,a1,34,b69b86be,-0.0118159941735511,546.5303955078125,289.4815368652344,0.0953781237787174,1690,-0.4513362030774143,-0.1375106705813659,80
cv,session_loso,attn,paw_vx,a1,34,b69b86be,-0.0171821765330186,547.9777221679688,295.9783935546875,0.0422252951459337,1690,-0.4191440114241743,-0.2287607259410683,80
cv,session_loso,mean,paw_vx,a1,35,bd456d8f,-0.0173600532293298,499.9217529296875,270.530517578125,-0.0654611561308015,2156,-0.3608573068336578,-0.2359129717390901,98
cv,session_loso,attn,paw_vx,a1,35,bd456d8f,-0.0219322981303158,501.0438232421875,269.342041015625,-0.0967490454165829,2156,-0.3838255098671985,-0.2412506824627005,98
cv,session_loso,mean,paw_vx,a1,36,cb2ad999,-0.0097694683289994,456.7985534667969,265.30059814453125,0.0700793882240998,7314,-0.2215425227092602,-0.1051825227462706,231
cv,session_loso,attn,paw_vx,a1,36,cb2ad999,-0.0124350726291928,457.4010620117188,262.32666015625,0.0849886575555797,7314,-0.2448115046357948,-0.1365997644042678,231
cv,session_loso,mean,paw_vx,a1,37,cef05f87,-0.0148019856121917,565.69580078125,333.4952697753906,0.0336714244799358,1322,-0.160062637969496,-0.1095072117841901,54
cv,session_loso,attn,paw_vx,a1,37,cef05f87,-0.025740997472365,568.736572265625,336.0860290527344,0.0238040102341979,1322,-0.1709201815363464,-0.1094050507271146,54
cv,session_loso,mean,paw_vx,a1,38,cf43dbb1,0.0414934985103435,1026.3314208984375,561.8685913085938,0.2836940431597751,308,-0.1143754385465644,-0.0967301125449827,12
