task,pool,target,ablation,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,paw_vx,none,0.0415003770332668,487.932861328125,280.9851989746094,0.2079693011527698,1229,-0.3006144772688575,-0.0866813833620925,47
trial_holdout,attn,paw_vx,none,0.0498753499180124,485.7965087890625,275.6141967773437,0.2315301953561909,1229,-0.2656977822525399,-0.0701279932284952,47
session_holdout,mean,paw_vx,none,-0.0259853087432111,382.2575073242188,207.9237823486328,0.0284486865557133,4695,-0.5388096717529667,-0.1614049318201602,237
session_holdout,attn,paw_vx,none,-0.8495565646292407,513.238525390625,354.7648620605469,-0.0284951625162248,4695,-8.090212261430892,-2.501930066415196,237
mouse_holdout,mean,paw_vx,none,-0.0159590264252122,614.9652709960938,382.8909912109375,0.1005227684166043,8433,-2.388861957999908,-0.0545215880182876,371
mouse_holdout,attn,paw_vx,none,-0.0239376360879566,617.3753051757812,381.0953979492188,0.102919111418318,8433,-2.690500379825411,-0.0463180853418006,371
trial_holdout,mean,paw_vx,a1,0.0064764244751028,496.76751708984375,265.3920288085937,0.1195017294993849,1229,-0.2578224901470319,-0.1253640149249748,47
trial_holdout,attn,paw_vx,a1,0.0017587731113722,497.945556640625,261.09698486328125,0.1124897279896869,1229,-0.2647819548690677,-0.0803361979082439,47
session_holdout,mean,paw_vx,a1,-0.044290901190632,385.6525268554688,199.720947265625,-0.0509569685530921,4695,-0.6719896622134145,-0.3888254283065371,237
session_holdout,attn,paw_vx,a1,-0.0473607262082091,386.2189331054688,203.1247711181641,-0.0818353663906419,4695,-0.6470921143156363,-0.3872779541334259,237
mouse_holdout,mean,paw_vx,a1,-0.0023098746656704,610.8203735351562,370.0366821289063,0.0416671724965988,8433,-0.7494973568735114,-0.1157823330728478,371
mouse_holdout,attn,paw_vx,a1,0.0048797994332024,608.6256713867188,365.3657531738281,0.0769597238262755,8433,-0.6001055936313098,-0.091021583569623,371
