protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,paw_vy,none,0,rep0,0.0038494857398092,373.300048828125,217.52947998046875,0.113443870156919,2608,-0.4974652034120179,-0.0670341201084059,113
cv,trial_repeat,attn,paw_vy,none,0,rep0,0.0018937184414417,373.6663513183594,221.25315856933597,0.1414215119711091,2608,-0.7674528881221214,-0.0914317814519349,113
cv,trial_repeat,mean,paw_vy,none,1,rep1,0.0319943683993857,392.4924011230469,226.3310546875,0.1795419170405765,1558,-1.7475532585996236,-0.0448722120517797,69
cv,trial_repeat,attn,paw_vy,none,1,rep1,0.0692925134784195,384.8565979003906,223.62762451171875,0.2647004457788507,1558,-1.635501829129513,-0.0138579324085239,69
cv,trial_repeat,mean,paw_vy,none,2,rep2,0.0704965955741893,421.027587890625,245.82257080078125,0.2727796699461494,872,-0.123955439451153,-0.0121546802630715,40
cv,trial_repeat,attn,paw_vy,none,2,rep2,0.1276692217266942,407.8736572265625,239.2777404785156,0.3805316347001072,872,0.0020046262964164,0.0295953859874139,40
cv,trial_repeat,mean,paw_vy,none,3,rep3,-0.0015469911924361,461.8631286621094,235.0839691162109,0.1056526619797655,1899,-0.2252150233508625,-0.0542173843855608,74
cv,trial_repeat,attn,paw_vy,none,3,rep3,0.025375622454964,455.6131591796875,236.36489868164065,0.1726389737096549,1899,-0.3316947564819818,-0.0357500912354977,74
cv,trial_repeat,mean,paw_vy,none,4,rep4,0.0490369612002787,389.7023010253906,235.3098602294922,0.2239804142604363,1080,-0.442990399959398,-0.02608099987965,46
cv,trial_repeat,attn,paw_vy,none,4,rep4,0.0427855170897977,390.9811096191406,239.35055541992188,0.2205682982151055,1080,-0.4183178967660135,-0.0696024954179459,46
cv,trial_extrapolation,mean,paw_vy,none,0,3063955,0.0002569069649305,222.35948181152344,116.0958480834961,0.0403928244435738,490,-0.0599958092780072,-0.0377271296657192,8
cv,trial_extrapolation,attn,paw_vy,none,0,3063955,-0.0021802013686136,222.6303558349609,121.46150970458984,0.0400870630369601,490,-0.0479612470236885,-0.0273592541187475,8
cv,trial_extrapolation,mean,paw_vy,none,1,0f77ca5d,-0.0030839075873312,382.6162109375,207.79530334472656,0.0558543399462346,441,-0.2370986391958644,-0.0560776840037021,22
