task,pool,target,ablation,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,paw_vy,none,0.0574373544148417,339.2829895019531,188.7822265625,0.2896592214741091,1229,-0.0702455550868401,0.0572330614354228,47
trial_holdout,attn,paw_vy,none,0.0310215930476244,344.0044250488281,195.5228271484375,0.2693807911100309,1229,-0.1291190303275644,0.0040693213101723,47
session_holdout,mean,paw_vy,none,0.1092126647448368,251.47494506835935,149.75143432617188,0.3878959767125869,4695,-16.353383880784843,0.0204231330912182,237
session_holdout,attn,paw_vy,none,0.0898615172292088,254.19174194335935,133.8167724609375,0.312787783334902,4695,-8.329810656084947,0.0039904381837494,237
mouse_holdout,mean,paw_vy,none,0.0143555325342394,391.3841552734375,203.53842163085935,0.1267590198485116,8433,-0.7143048263110073,-0.1001500367695773,371
mouse_holdout,attn,paw_vy,none,0.0024460236097108,393.7415771484375,209.98419189453125,0.1252136293482389,8433,-1.4257643630593662,-0.1335573438108697,371
trial_holdout,mean,paw_vy,a1,0.0303001842026419,344.1324768066406,188.95904541015625,0.1793047088520004,1229,-0.0762757857795486,-0.0328455857361591,47
trial_holdout,attn,paw_vy,a1,0.0135272572224413,347.0959167480469,189.80633544921875,0.1477150561500718,1229,-0.0750595576852178,-0.0205530291812539,47
session_holdout,mean,paw_vy,a1,0.1669687146430563,243.18588256835935,127.5050048828125,0.4144619275389894,4695,-6.519501979948423,0.0705040611638447,237
session_holdout,attn,paw_vy,a1,0.165896281925679,243.3423767089844,122.89305114746094,0.4462700097651497,4695,-3.5079796374591035,0.0837836503368424,237
mouse_holdout,mean,paw_vy,a1,-0.0056988860784641,395.3457336425781,214.1280670166016,0.1307935851748576,8433,-2.0816594559546453,-0.1184430194092505,371
mouse_holdout,attn,paw_vy,a1,-0.001422714372752,394.50433349609375,204.2673797607422,0.1105405307246973,8433,-0.7725170260595319,-0.0848831945011767,371
