protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,paw_vz,none,0,rep0,0.0232260111385516,658.7757568359375,319.3066101074219,0.161339279685975,2608,-1.317825052791303,-0.1790217040358765,113
cv,trial_repeat,attn,paw_vz,none,0,rep0,0.0113752583181362,662.760009765625,311.4420166015625,0.1169235562637594,2608,-0.8198981490850621,-0.1066133024026061,113
cv,trial_repeat,mean,paw_vz,none,1,rep1,0.0128655616900164,637.1753540039062,332.9903869628906,0.1286282516254719,1558,-1.0591500958368414,-0.069636778031529,69
cv,trial_repeat,attn,paw_vz,none,1,rep1,0.0140806934036065,636.7830810546875,324.9971923828125,0.1384016315197943,1558,-0.7098319688163791,-0.0966160389617525,69
cv,trial_repeat,mean,paw_vz,none,2,rep2,0.0351460004324718,632.71728515625,280.70361328125,0.189827497778513,872,-0.3446721879078882,-0.1103214668182877,40
cv,trial_repeat,attn,paw_vz,none,2,rep2,0.0286878401513872,634.831298828125,275.34002685546875,0.1858536978417676,872,-0.2315744053533411,-0.1514035724119127,40
cv,trial_repeat,mean,paw_vz,none,3,rep3,-0.0154178349382994,841.064208984375,384.5248718261719,0.0293256602215527,1899,-1.3328143374983694,-0.1396951637063926,74
cv,trial_repeat,attn,paw_vz,none,3,rep3,-0.0068421005807191,837.5050659179688,385.77685546875,0.0758979971350049,1899,-1.3590338839419875,-0.1249517230384774,74
cv,trial_repeat,mean,paw_vz,none,4,rep4,0.0201673049635245,794.1392211914062,421.5830993652344,0.2375486001358926,1080,-2.5012028340975947,-0.2497730077897727,46
cv,trial_repeat,attn,paw_vz,none,4,rep4,0.0324692750388987,789.1381225585938,414.5188293457031,0.2479421099441737,1080,-2.460419433412709,-0.2277204700312995,46
cv,trial_extrapolation,mean,paw_vz,none,0,3063955,-0.004464208669759,420.2823791503906,104.30997467041016,0.0044816705632221,490,-0.0655005979475403,-0.0462655588210246,8
cv,trial_extrapolation,attn,paw_vz,none,0,3063955,-0.0020621690934992,419.7795715332031,100.10604095458984,0.0048424503941411,490,-0.1062109469157933,-0.0738896886053419,8
cv,trial_extrapolation,mean,paw_vz,none,1,0f77ca5d,-0.0006098250906536,462.0135192871094,214.70242309570312,0.0283567717610339,441,-0.1673756499506342,-0.0377068992083448,22
cv,trial_extrapolation,attn,paw_vz,none,1,0f77ca5d,-0.0004672476911347,461.9805908203125,214.79974365234372,0.0266226696135257,441,-0.1704577225860594,-0.0383798254289795,22
cv,trial_extrapolation,mean,paw_vz,none,2,113c5b6c,-0.0161565068516271,757.315185546875,317.4490661621094,0.1421575284450764,222,-0.1377201215636108,-0.0800704446623385,7
cv,trial_extrapolation,attn,paw_vz,none,2,113c5b6c,-0.0246752601443818,760.4830322265625,307.42919921875,-0.0782689137663391,222,-0.1218615128474541,-0.0962279524775859,7
cv,trial_extrapolation,mean,paw_vz,none,3,1e45d992,0.0009563765177625,259.81036376953125,94.83589935302734,0.1185241698400771,278,-32.1055153977115,-4.588882104532141,10
cv,trial_extrapolation,attn,paw_vz,none,3,1e45d992,-0.0022713959046325,260.2297058105469,92.48202514648438,-0.0505975250818596,278,-29.964850569787604,-4.219345921837346,10
cv,trial_extrapolation,mean,paw_vz,none,4,259927fd,0.1707693568125957,602.1729736328125,382.8702392578125,0.4264644112928913,99,-4.333636456824969,0.0876371903700726,6
cv,trial_extrapolation,attn,paw_vz,none,4,259927fd,0.1745291384307986,600.8062744140625,388.2456665039063,0.4278766221072495,99,-4.72590295579896,0.0637575845536543,6
cv,trial_extrapolation,mean,paw_vz,none,5,2c44a360,-0.0829808485809751,782.2627563476562,375.1022033691406,0.0390808675339364,318,-0.4936654954471797,-0.4284389822845316,11
cv,trial_extrapolation,attn,paw_vz,none,5,2c44a360,-0.0651682327195013,775.8027954101562,353.794677734375,-0.0442824553996682,318,-0.3692827485559102,-0.4052531244956208,11
cv,trial_extrapolation,mean,paw_vz,none,6,2e6e179c,-0.424788230016206,673.9356689453125,565.1286010742188,0.0382391218453714,441,-1.5394675520787648,-0.7552766145163773,14
cv,trial_extrapolation,attn,paw_vz,none,6,2e6e179c,-0.4805518480393695,686.9974365234375,577.4945678710938,0.0337312849693698,441,-1.7031057272914978,-0.8381179239594687,14
cv,trial_extrapolation,mean,paw_vz,none,7,360eac0c,-0.0950468837725118,344.1943359375,196.2252349853516,-0.2117296377901984,72,-0.4789733808551872,-0.3936733283995242,5
cv,trial_extrapolation,attn,paw_vz,none,7,360eac0c,-0.0977610585252066,344.6206359863281,195.3519287109375,0.1862020815197174,72,-0.4782714857208534,-0.40006057872964,5
cv,trial_extrapolation,mean,paw_vz,none,8,36280321,-9.403992632375562,755.9801025390625,686.9342651367188,-0.0059736295056287,214,-48.970254748421006,-12.402967887337546,6
cv,trial_extrapolation,attn,paw_vz,none,8,36280321,-10.937643448370004,809.7848510742188,737.0316772460938,-0.050291998519087,214,-53.10342002415992,-13.801159962030589,6
cv,trial_extrapolation,mean,paw_vz,none,9,4aa1d525,0.0016931482268579,1272.7200927734375,674.2673950195312,0.1070672412209177,244,-7.888382712582644,-0.4707159665136351,12
cv,trial_extrapolation,attn,paw_vz,none,9,4aa1d525,0.0006473583620869,1273.386474609375,663.7034301757812,0.126970429823412,244,-7.167116320766694,-0.4839679344058861,12
cv,trial_extrapolation,mean,paw_vz,none,10,5455a21c,0.0027016252206888,588.7261352539062,405.0544128417969,0.1472075201084982,61,-0.4804793167078571,-0.0069471513139461,4
cv,trial_extrapolation,attn,paw_vz,none,10,5455a21c,0.0053423390546075,587.9461059570312,402.1100769042969,0.1267479167303376,61,-0.3536544465268582,-0.0688647953904648,4
cv,trial_extrapolation,mean,paw_vz,none,11,5569f363,0.0013531298126956,1077.7508544921875,683.9010009765625,0.0846735139743257,144,-0.3696324920058512,-0.4257122101719213,7
cv,trial_extrapolation,attn,paw_vz,none,11,5569f363,-0.0020794409325632,1079.6014404296875,685.2462158203125,-0.1691480480494779,144,-0.3731339458449252,-0.4456392116355898,7
cv,trial_extrapolation,mean,paw_vz,none,12,57b5ae8f,0.0922139483648276,556.2789916992188,417.6527404785156,0.4013025157169883,400,-3.4902552595740843,0.0834052756239885,10
cv,trial_extrapolation,attn,paw_vz,none,12,57b5ae8f,0.1299816860357023,544.5842895507812,384.2101440429688,0.4037374264431135,400,-2.62556398658574,0.1364141779342443,10
cv,trial_extrapolation,mean,paw_vz,none,13,5adab0b7,-0.001499190968677,417.9060974121094,228.43719482421875,0.0322294438794434,406,-0.1501688621462962,-0.0525097502227089,10
cv,trial_extrapolation,attn,paw_vz,none,13,5adab0b7,0.0005481407078203,417.4786987304688,220.3979339599609,0.0291652053770789,406,-0.1586369588404166,-0.0274698188831372,10
cv,trial_extrapolation,mean,paw_vz,none,14,5ec72172,-0.0028821232342357,886.8671875,595.1166381835938,0.0334840152986118,403,-0.3353233122158373,-0.1160441574960555,15
cv,trial_extrapolation,attn,paw_vz,none,14,5ec72172,0.0006832839873479,885.289306640625,595.8046875,0.0672596176585434,403,-0.3358087823298549,-0.1361706894661347,15
cv,trial_extrapolation,mean,paw_vz,none,15,626126d5,0.0213233434494334,700.414794921875,323.2874450683594,0.2424481313284414,574,-1.2830539849190663,-0.177356046368879,25
cv,trial_extrapolation,attn,paw_vz,none,15,626126d5,0.0163973877385112,702.1752319335938,339.9117431640625,0.2175453424946831,574,-1.6653080303821373,-0.341999146426176,25
cv,trial_extrapolation,mean,paw_vz,none,16,62902992,-0.0952137740325067,714.1038818359375,413.5898132324219,0.3118221508970036,94,-0.9005326298836976,-0.2540719852413473,5
cv,trial_extrapolation,attn,paw_vz,none,16,62902992,-0.1285278173025128,724.8832397460938,414.623291015625,-0.1708694413339256,94,-0.733618357859043,-0.2846401674687,5
cv,trial_extrapolation,mean,paw_vz,none,17,6f36868f,-0.0778229328177433,571.4578247070312,335.8964233398437,-0.0151943911128002,158,-1.242910982886868,-0.0471812610735005,5
cv,trial_extrapolation,attn,paw_vz,none,17,6f36868f,-0.0907968999838195,574.8868408203125,339.8140869140625,-0.0311562771295826,158,-1.4280004643526727,-0.0480877629208305,5
