protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,paw_vz,a1,0,rep0,-0.0036020864090042,667.7614135742188,307.9541320800781,0.030007722409441,2608,-0.4108081595357693,-0.1077972418424231,113
cv,trial_repeat,attn,paw_vz,a1,0,rep0,0.0019690055261575,665.9054565429688,301.2770690917969,0.0461890723049132,2608,-0.2753446891095117,-0.0690936876909131,113
cv,trial_repeat,mean,paw_vz,a1,1,rep1,0.0131876128976115,637.0714111328125,315.1946105957031,0.1317927783233776,1558,-0.5626953391626183,-0.1000826269976851,69
cv,trial_repeat,attn,paw_vz,a1,1,rep1,0.0143008894684499,636.7119750976562,318.8697204589844,0.1215299134529639,1558,-1.0249875877532983,-0.1326745272779257,69
cv,trial_repeat,mean,paw_vz,a1,2,rep2,0.0110359785421766,640.5737915039062,271.7491455078125,0.1058644280971694,872,-0.3699036971533871,-0.0919451332071514,40
cv,trial_repeat,attn,paw_vz,a1,2,rep2,-0.0060430971551488,646.0813598632812,275.30279541015625,0.0346255999474616,872,-0.4636425400806719,-0.1527365474177637,40
cv,trial_repeat,mean,paw_vz,a1,3,rep3,-0.0003157116368888,834.7863159179688,364.378662109375,0.010135269355934,1899,-0.2116909171888155,-0.0813805917873756,74
cv,trial_repeat,attn,paw_vz,a1,3,rep3,-0.0013621053274448,835.2227783203125,366.8362731933594,0.0021252153433138,1899,-0.1930132318220932,-0.0893963334113669,74
cv,trial_repeat,mean,paw_vz,a1,4,rep4,0.0097462209658667,798.35107421875,364.6927490234375,0.1567274309348755,1080,-0.4847713427496531,-0.3059781657511974,46
cv,trial_repeat,attn,paw_vz,a1,4,rep4,0.0061840964961055,799.78564453125,363.8384399414063,0.1365625180333335,1080,-0.4847633735740708,-0.2581281742568705,46
cv,trial_extrapolation,mean,paw_vz,a1,0,3063955,-0.0041586217305749,420.2184448242188,103.99365234375,0.0073943702513399,490,-0.0762652824179005,-0.0599938574095636,8
cv,trial_extrapolation,attn,paw_vz,a1,0,3063955,-0.0025896398186227,419.8899841308594,100.75623321533205,-0.0005357651430723,490,-0.0972284096365367,-0.0732943326192743,8
cv,trial_extrapolation,mean,paw_vz,a1,1,0f77ca5d,0.0003498621929646,461.7919006347656,216.56185913085935,0.0341785715592233,441,-0.1974203521216987,-0.0440478275090661,22
cv,trial_extrapolation,attn,paw_vz,a1,1,0f77ca5d,0.0003639224529417,461.7886657714844,216.46861267089844,0.0330770472631869,441,-0.1995430972205493,-0.0451164709955508,22
cv,trial_extrapolation,mean,paw_vz,a1,2,113c5b6c,-0.0164544412667353,757.4262084960938,319.4358825683594,-0.0475506262775012,222,-0.141628147909053,-0.080338387662562,7
cv,trial_extrapolation,attn,paw_vz,a1,2,113c5b6c,-0.0224873311311426,759.6707153320312,308.96209716796875,-0.0499147615701262,222,-0.122937490642359,-0.0922271887426662,7
cv,trial_extrapolation,mean,paw_vz,a1,3,1e45d992,0.005765978719002,259.1842041015625,82.06028747558594,0.2103593474749847,278,-15.644307059676924,-2.693363494191087,10
cv,trial_extrapolation,attn,paw_vz,a1,3,1e45d992,0.0034176604408721,259.4901123046875,85.78075408935547,0.1572612283824561,278,-19.98514710978798,-3.153486108615022,10
cv,trial_extrapolation,mean,paw_vz,a1,4,259927fd,0.1774110393811153,599.756591796875,377.4283142089844,0.4356130844070124,99,-4.404986069514949,0.1002144836086175,6
cv,trial_extrapolation,attn,paw_vz,a1,4,259927fd,0.1753731833339495,600.4990844726562,373.62445068359375,0.4398025764320136,99,-3.9956904013897687,0.1169565780448517,6
cv,trial_extrapolation,mean,paw_vz,a1,5,2c44a360,-0.0696406498379094,777.4298095703125,361.7440185546875,0.0390037961868622,318,-0.4166470841429141,-0.4105903654394469,11
cv,trial_extrapolation,attn,paw_vz,a1,5,2c44a360,-0.0658445021162072,776.049072265625,357.9638977050781,0.0392881562768095,318,-0.3997741205625715,-0.4031681480153806,11
cv,trial_extrapolation,mean,paw_vz,a1,6,2e6e179c,-0.469471069368607,684.4217529296875,578.2946166992188,0.0174445266530695,441,-1.6653788059869992,-0.8200246370893696,14
cv,trial_extrapolation,attn,paw_vz,a1,6,2e6e179c,-0.525804262922984,697.417236328125,575.0218505859375,0.0537954331850624,441,-1.8478323618883743,-0.7881804052875876,14
cv,trial_extrapolation,mean,paw_vz,a1,7,360eac0c,-0.1265989757502355,349.1178283691406,201.3362579345703,0.1062265368366576,72,-0.4793035745706784,-0.4342268050619065,5
cv,trial_extrapolation,attn,paw_vz,a1,7,360eac0c,-0.1261456896712056,349.0475769042969,202.0948638916016,0.2560635022608273,72,-0.4772907361257222,-0.4340201161501449,5
cv,trial_extrapolation,mean,paw_vz,a1,8,36280321,-8.118963793084177,707.7552490234375,655.7567749023438,-0.077228853182289,214,-39.62274636881931,-10.503043898663243,6
cv,trial_extrapolation,attn,paw_vz,a1,8,36280321,-8.320343552463434,715.5274658203125,664.5432739257812,-0.0719280017422764,214,-41.230211545940456,-10.811189164060254,6
cv,trial_extrapolation,mean,paw_vz,a1,9,4aa1d525,-0.0002598837019094,1273.9644775390625,651.6677856445312,0.0049386633380565,244,-6.424555364885073,-0.4872286457199345,12
cv,trial_extrapolation,attn,paw_vz,a1,9,4aa1d525,0.0003046042135262,1273.60498046875,671.3975219726562,0.1062116198467688,244,-7.650924430874325,-0.4778299297700181,12
cv,trial_extrapolation,mean,paw_vz,a1,10,5455a21c,0.0144100153797765,585.260009765625,396.9410095214844,0.147999576929585,61,-0.39219485205632,-0.0311265752987689,4
cv,trial_extrapolation,attn,paw_vz,a1,10,5455a21c,0.0048432146901148,588.0936279296875,407.6384582519531,0.1404643905163563,61,-0.3651307820432468,-0.0566570078185868,4
cv,trial_extrapolation,mean,paw_vz,a1,11,5569f363,-0.0048481437846836,1081.0919189453125,683.5205078125,-0.1326159240604032,144,-0.3705095206558191,-0.4675697855914433,7
cv,trial_extrapolation,attn,paw_vz,a1,11,5569f363,-0.0037179118379282,1080.483642578125,683.3798217773438,-0.0473896561995461,144,-0.3679732019426591,-0.4624634794380577,7
cv,trial_extrapolation,mean,paw_vz,a1,12,57b5ae8f,0.1421800711051889,540.7530517578125,400.3508605957031,0.460833915610808,400,-3.3861842181110133,0.1936081768697027,10
cv,trial_extrapolation,attn,paw_vz,a1,12,57b5ae8f,-0.0825454568483849,607.4688110351562,485.1800842285156,0.3102772027366293,400,-5.896029232966129,0.2729819633819449,10
cv,trial_extrapolation,mean,paw_vz,a1,13,5adab0b7,-0.0003624401578026,417.6688537597656,225.820556640625,0.0334977092872745,406,-0.150526651221724,-0.0478454157718298,10
cv,trial_extrapolation,attn,paw_vz,a1,13,5adab0b7,0.0006293565560934,417.4617614746094,221.3100128173828,0.0437069421897226,406,-0.1568469426774964,-0.0310390824188157,10
cv,trial_extrapolation,mean,paw_vz,a1,14,5ec72172,-0.0068263514212432,888.6094360351562,596.3106689453125,-0.0277221643571356,403,-0.337091396754854,-0.1593260572929331,15
cv,trial_extrapolation,attn,paw_vz,a1,14,5ec72172,0.0033129292238515,884.1237182617188,597.6063842773438,0.0859337933671356,403,-0.33620787667941,-0.1456494989350818,15
cv,trial_extrapolation,mean,paw_vz,a1,15,626126d5,0.0250738187609651,699.0714111328125,327.9750061035156,0.2424831864730693,574,-1.454793844274572,-0.2205572466655785,25
cv,trial_extrapolation,attn,paw_vz,a1,15,626126d5,0.0543962629781227,688.4783325195312,316.246337890625,0.3660024130516931,574,-1.6040513491027335,-0.1605760175617456,25
cv,trial_extrapolation,mean,paw_vz,a1,16,62902992,-0.1068539309052625,717.888671875,412.1142272949219,0.368863132325365,94,-0.792582982943928,-0.2647045010359916,5
cv,trial_extrapolation,attn,paw_vz,a1,16,62902992,-0.0869619165321839,711.4086303710938,420.58734130859375,0.1152172902600075,94,-1.0788013791654356,-0.2436578112955805,5
cv,trial_extrapolation,mean,paw_vz,a1,17,6f36868f,-0.0629159544480881,567.4921875,326.9601745605469,0.0023565900582147,158,-1.041451641029198,-0.0412681340631004,5
cv,trial_extrapolation,attn,paw_vz,a1,17,6f36868f,-0.0378578100854034,560.7630615234375,306.8692626953125,0.0153214844159544,158,-0.6987713238191569,-0.0281735122708335,5
cv,trial_extrapolation,mean,paw_vz,a1,18,6f6d2c8e,-0.0077886073095738,417.6097106933594,204.2069854736328,0.0157446997803125,190,-0.2479593973456397,-0.2310767137094045,9
cv,trial_extrapolation,attn,paw_vz,a1,18,6f6d2c8e,-0.0314475579046542,422.483154296875,227.54112243652344,0.0106198818315435,190,-0.4121272999207881,-0.4681080250437388,9
cv,trial_extrapolation,mean,paw_vz,a1,19,77e6dc6a,-0.0415848822323636,986.685302734375,567.3807983398438,-0.1260199278121467,169,-0.2561598212386093,-0.1059999255296819,7
cv,trial_extrapolation,attn,paw_vz,a1,19,77e6dc6a,-0.0422740677197477,987.01171875,568.5391845703125,-0.1736640537550481,169,-0.2616477492936487,-0.1123880170514588,7
cv,trial_extrapolation,mean,paw_vz,a1,20,78b4fff5,-0.0174643013080493,729.185791015625,379.7628173828125,0.1085126567385738,761,-1.8542763837632612,-0.0979090606722354,26
cv,trial_extrapolation,attn,paw_vz,a1,20,78b4fff5,-0.0493698068791392,740.5303955078125,390.713623046875,0.0427289614965293,761,-1.5634200000522969,-0.1482204669178856,26
cv,trial_extrapolation,mean,paw_vz,a1,21,7bee9f09,-3.8904215567122655,628.2963256835938,573.8917236328125,-0.0228801714524813,173,-19.399751700929677,-3.783090510048403,3
cv,trial_extrapolation,attn,paw_vz,a1,21,7bee9f09,-3.154654385141484,579.1069946289062,520.2664794921875,0.0647418952410409,173,-15.813643194053304,-3.088609361506653,3
cv,trial_extrapolation,mean,paw_vz,a1,22,7f150b7c,-0.0538317172042444,765.2841796875,445.08740234375,-0.1167117796388614,85,-0.2029831118303424,-0.21371234627193,4
cv,trial_extrapolation,attn,paw_vz,a1,22,7f150b7c,-0.0308837985524612,756.9060668945312,453.9085998535156,-0.2666378714081435,85,-0.1764430557928626,-0.1484882097139306,4
