task,pool,target,ablation,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,paw_vz,none,-0.000216969230375,558.3034057617188,297.87127685546875,0.1241988626180348,1229,-3.467578196217739,-0.2430917950731537,47
trial_holdout,attn,paw_vz,none,0.0394615427869572,547.117431640625,299.48779296875,0.2183325444455173,1229,-3.526788135944276,-0.0916650299790899,47
session_holdout,mean,paw_vz,none,-1.000712109419192,700.5286865234375,415.0260925292969,-0.0496542447149698,4695,-17.059805701103187,-5.559061921807685,237
session_holdout,attn,paw_vz,none,-1.318432285377885,754.103271484375,455.8554992675781,-0.0684260413159782,4695,-22.367088664528413,-6.982949647471214,237
mouse_holdout,mean,paw_vz,none,0.0088096129895388,440.79534912109375,221.5987548828125,0.130415168908332,8433,-0.2937507444450975,-0.0569704009606362,371
mouse_holdout,attn,paw_vz,none,0.0149281484339059,439.4327697753906,222.02012634277344,0.1904787239597417,8433,-0.2869296551714645,-0.0766421993517121,371
trial_holdout,mean,paw_vz,a1,0.0147939322074445,554.09814453125,257.9116516113281,0.1430943241578222,1229,-0.9958832227613768,-0.1279217321977097,47
trial_holdout,attn,paw_vz,a1,0.018949433848195,552.9283447265625,263.36639404296875,0.1442116708677161,1229,-1.415751558920635,-0.162845831920726,47
session_holdout,mean,paw_vz,a1,-0.0157774067213745,499.1520690917969,208.19827270507807,0.1065278311122934,4695,-0.3342697758847761,-0.2406077782444362,237
session_holdout,attn,paw_vz,a1,0.0032271973984185,494.4606018066406,210.98275756835935,0.145251516318391,4695,-0.5499212217774946,-0.2816739106028032,237
mouse_holdout,mean,paw_vz,a1,-0.0341019828151805,450.2359313964844,229.6298065185547,0.0356537168768715,8433,-0.2752498278521304,-0.1732201448792467,371
mouse_holdout,attn,paw_vz,a1,-0.0503039555510418,453.7492980957031,238.45150756835935,0.0426468376396335,8433,-0.5077209959967892,-0.2121315290824601,371
