protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,wheel_speed,none,0,rep0,0.2834345953561105,0.8295435309410095,0.5615133047103882,0.5681202985450499,2675,0.118433709293089,0.5167815136399485,116
cv,trial_repeat,attn,wheel_speed,none,0,rep0,0.2805685716873632,0.8312007784843445,0.5475105047225952,0.5522300620581929,2675,0.1922891641210059,0.4636469335905495,116
cv,trial_repeat,mean,wheel_speed,none,1,rep1,0.2659887441683898,0.8680270314216614,0.5801351070404053,0.5536690009565843,1571,0.1287236542541111,0.5054806442072575,69
cv,trial_repeat,attn,wheel_speed,none,1,rep1,0.2490476081801744,0.8779871463775635,0.6085842847824097,0.5631042447208902,1571,0.0806160719834881,0.4558484141889709,69
cv,trial_repeat,mean,wheel_speed,none,2,rep2,0.3823682638428123,0.8580676913261414,0.551216185092926,0.6331351305342525,929,0.2572491752950049,0.5963376542096321,43
cv,trial_repeat,attn,wheel_speed,none,2,rep2,0.415903618896337,0.8344475030899048,0.5416908264160156,0.6610017109959001,929,0.3069247966506971,0.5669444666157712,43
cv,trial_repeat,mean,wheel_speed,none,3,rep3,0.2950422228159376,0.788657009601593,0.5372120141983032,0.5663331148817113,2186,0.1990917183423163,0.4313213816356895,89
cv,trial_repeat,attn,wheel_speed,none,3,rep3,0.2845104966662471,0.794526219367981,0.537470817565918,0.5690341548415495,2186,0.1759054021324486,0.4644977691159639,89
cv,trial_repeat,mean,wheel_speed,none,4,rep4,0.3349187389739405,0.8079431056976318,0.5437283515930176,0.6074167361375088,1091,0.17268478030802,0.4502159218156024,46
cv,trial_repeat,attn,wheel_speed,none,4,rep4,0.3349904936350651,0.807899534702301,0.5513876676559448,0.6020626506558356,1091,0.1901965431235055,0.4933062637654931,46
cv,trial_extrapolation,mean,wheel_speed,none,0,3063955,-0.1128095542208125,0.7084220051765442,0.5820746421813965,0.1161559763364595,491,-0.205135041576757,-0.0487496668412634,8
cv,trial_extrapolation,attn,wheel_speed,none,0,3063955,-0.2379024434540513,0.7471792697906494,0.6487098336219788,0.116403260747537,491,-0.3554553176468595,-0.110336735147977,8
cv,trial_extrapolation,mean,wheel_speed,none,1,0f77ca5d,0.3929430964795086,0.727662980556488,0.5121750831604004,0.6549448993135285,445,0.4071125652818357,0.5972808722950907,22
cv,trial_extrapolation,attn,wheel_speed,none,1,0f77ca5d,0.3554510193759014,0.7497967481613159,0.5459554195404053,0.6614232803905868,445,0.322703482395205,0.4551343873639324,22
cv,trial_extrapolation,mean,wheel_speed,none,2,113c5b6c,0.000815172840634,0.7273831963539124,0.5961869359016418,0.2250803353452774,225,-0.1978977798284159,-0.1436777414139538,7
