task,pool,target,ablation,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,wheel_speed,none,0.4659644787503584,0.6595478057861328,0.4156102538108825,0.7130393537342847,1275,0.1107235092181172,0.5578986009801599,49
trial_holdout,attn,wheel_speed,none,0.4883510769351794,0.6455758213996887,0.4134397506713867,0.7191154208807478,1275,0.184673663451843,0.5153218189505284,49
session_holdout,mean,wheel_speed,none,0.5221009124619321,0.7412915825843811,0.4826467633247375,0.72902577408001,5094,0.4727978982411019,0.619086741027155,252
session_holdout,attn,wheel_speed,none,0.5135401211121529,0.7479016184806824,0.4884573221206665,0.7190359247093435,5094,0.4503599625157056,0.6037397916383915,252
mouse_holdout,mean,wheel_speed,none,0.2671453848777164,0.8239805102348328,0.5416736006736755,0.5367146442453407,8545,0.2611282171902828,0.4547944396206649,375
mouse_holdout,attn,wheel_speed,none,0.2357814977542299,0.8414276838302612,0.556795060634613,0.5066323733928071,8545,0.2543665041498407,0.439676485495848,375
trial_holdout,mean,wheel_speed,a1,0.3899150624342891,0.7049468755722046,0.4622975885868072,0.6610930451872937,1275,0.0946443938804481,0.4297263439255118,49
trial_holdout,attn,wheel_speed,a1,0.4746664311577744,0.6541522145271301,0.4150053560733795,0.7031836957702192,1275,0.2574589562821465,0.5234750794471938,49
session_holdout,mean,wheel_speed,a1,0.5497711855281995,0.7195112705230713,0.4751614034175873,0.745201085825991,5094,0.4895744941275146,0.6666686785766512,252
session_holdout,attn,wheel_speed,a1,0.5279389871857659,0.7367498278617859,0.4956449568271637,0.7326291593419577,5094,0.4468512494095917,0.6848722106927251,252
mouse_holdout,mean,wheel_speed,a1,0.2362862020296292,0.8411497473716736,0.5559483766555786,0.5235891213584531,8545,0.2039858245757974,0.3861021933979709,375
mouse_holdout,attn,wheel_speed,a1,0.2276629704230675,0.8458852171897888,0.5640009045600891,0.5118051148801777,8545,0.2005795907514805,0.3656359758237237,375
