mouse_id,n_sessions,n_units,n_voxels,frac_of_occupied_global
CSH_ZAD_026,4,260,59,0.1671388101983003
NR_0027,2,134,36,0.10198300283286119
DY_011,3,74,26,0.07365439093484419
CSHL059,2,154,24,0.0679886685552408
SWC_038,2,84,24,0.0679886685552408
UCLA037,1,226,22,0.06232294617563739
DY_014,2,128,20,0.056657223796033995
ZFM-01936,2,125,19,0.053824362606232294
KS046,2,90,19,0.053824362606232294
CSHL049,2,89,18,0.05099150141643059
NYU-30,3,71,18,0.05099150141643059
UCLA035,1,66,17,0.04815864022662889
SWC_043,2,44,16,0.0453257790368272
NYU-37,1,54,15,0.042492917847025496
ZM_2240,2,80,14,0.039660056657223795
CSH_ZAD_019,1,93,14,0.039660056657223795
NYU-21,2,67,13,0.036827195467422094
ZM_2241,1,69,12,0.0339943342776204
PL033,3,41,12,0.0339943342776204
ZM_2245,1,36,11,0.031161473087818695
CSHL060,1,50,11,0.031161473087818695
CSHL058,1,66,11,0.031161473087818695
UCLA034,1,38,10,0.028328611898016998
ZFM-01937,1,37,10,0.028328611898016998
ZFM-01576,1,65,9,0.025495750708215296
KS023,2,35,9,0.025495750708215296
UCLA033,1,39,8,0.0226628895184136
ZFM-02370,1,53,7,0.019830028328611898
NYU-48,1,7,5,0.014164305949008499
KS091,1,15,5,0.014164305949008499
KS043,1,9,3,0.0084985835694051
SWC_061,1,9,3,0.0084985835694051
