mouse_id,n_sessions,n_units,n_voxels,frac_of_occupied_global
CSH_ZAD_026,4,260,18,0.1487603305785124
NR_0027,2,134,14,0.11570247933884298
DY_011,3,74,12,0.09917355371900827
CSHL049,2,89,12,0.09917355371900827
DY_014,2,128,11,0.09090909090909091
CSHL059,2,154,10,0.08264462809917356
SWC_038,2,84,10,0.08264462809917356
ZFM-01936,2,125,9,0.0743801652892562
SWC_043,2,44,7,0.05785123966942149
CSH_ZAD_019,1,93,7,0.05785123966942149
UCLA035,1,66,6,0.049586776859504134
NYU-21,2,67,6,0.049586776859504134
UCLA037,1,226,6,0.049586776859504134
UCLA033,1,39,5,0.04132231404958678
NYU-30,3,71,5,0.04132231404958678
CSHL060,1,50,5,0.04132231404958678
NYU-37,1,54,5,0.04132231404958678
ZM_2240,2,80,5,0.04132231404958678
ZFM-01937,1,37,5,0.04132231404958678
ZM_2245,1,36,5,0.04132231404958678
CSHL058,1,66,4,0.03305785123966942
KS046,2,90,4,0.03305785123966942
UCLA034,1,38,4,0.03305785123966942
ZM_2241,1,69,4,0.03305785123966942
KS023,2,35,4,0.03305785123966942
ZFM-01576,1,65,4,0.03305785123966942
PL033,3,41,4,0.03305785123966942
KS091,1,15,3,0.024793388429752067
NYU-48,1,7,2,0.01652892561983471
ZFM-02370,1,53,2,0.01652892561983471
SWC_061,1,9,2,0.01652892561983471
KS043,1,9,1,0.008264462809917356
