time_from_stim_s,dlc_state,lp_state
0.004169,still,still
0.020834,still,still
0.037466,still,still
0.054098,still,still
0.070763,still,still
0.087394,still,still
0.104026,still,still
0.120691,still,still
0.137323,still,still
0.153954,still,still
0.170619,still,still
0.187251,still,still
0.203883,still,decoupled
0.220514,decoupled,decoupled
0.237179,decoupled,decoupled
0.253811,decoupled,decoupled
0.270443,decoupled,decoupled
0.287108,decoupled,decoupled
0.303739,decoupled,decoupled
0.320371,decoupled,coupled
0.337036,decoupled,coupled
0.353668,decoupled,coupled
0.370299,decoupled,coupled
0.386931,decoupled,coupled
